"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 06월 10일","0.4001","0.3850","0.4031","0.3801","102.87M","3.73%"
"2019년 06월 09일","0.3857","0.4071","0.4103","0.3681","159.87M","-5.28%"
"2019년 06월 08일","0.4072","0.4191","0.4222","0.4024","84.16M","-2.84%"
"2019년 06월 07일","0.4191","0.4199","0.4302","0.4143","105.72M","-0.05%"
"2019년 06월 06일","0.4193","0.4000","0.4255","0.3904","140.29M","4.85%"
"2019년 06월 05일","0.3999","0.3992","0.4055","0.3879","120.98M","0.38%"
"2019년 06월 04일","0.3984","0.4145","0.4184","0.3852","229.37M","-4.78%"
"2019년 06월 03일","0.4184","0.4441","0.4643","0.4184","237.91M","-5.74%"
"2019년 06월 02일","0.4439","0.4287","0.4466","0.4278","113.96M","3.50%"
"2019년 06월 01일","0.4289","0.4384","0.4412","0.4189","127.61M","-2.19%"
"2019년 05월 31일","0.4385","0.4180","0.4404","0.4082","163.51M","4.90%"
"2019년 05월 30일","0.4180","0.4427","0.4725","0.4002","306.82M","-5.60%"
"2019년 05월 29일","0.4428","0.4486","0.4557","0.4213","196.06M","-1.36%"
"2019년 05월 28일","0.4489","0.4335","0.4598","0.4180","233.78M","3.48%"
"2019년 05월 27일","0.4338","0.4038","0.4454","0.4023","225.31M","7.27%"
"2019년 05월 26일","0.4044","0.3849","0.4130","0.3739","137.45M","4.96%"
"2019년 05월 25일","0.3853","0.3825","0.3928","0.3804","81.40M","0.68%"
"2019년 05월 24일","0.3827","0.3795","0.3928","0.3702","158.18M","0.87%"
"2019년 05월 23일","0.3794","0.3715","0.3826","0.3614","126.82M","2.04%"
"2019년 05월 22일","0.3718","0.3950","0.4105","0.3673","204.05M","-5.92%"
"2019년 05월 21일","0.3952","0.3963","0.4067","0.3860","174.57M","-0.33%"
"2019년 05월 20일","0.3965","0.4161","0.4161","0.3784","239.28M","-4.85%"
"2019년 05월 19일","0.4167","0.3713","0.4278","0.3700","313.05M","12.14%"
"2019년 05월 18일","0.3716","0.3881","0.3949","0.3644","179.64M","-4.37%"
"2019년 05월 17일","0.3886","0.4184","0.4233","0.3602","459.32M","-7.17%"
"2019년 05월 16일","0.4186","0.4569","0.4785","0.3944","616.81M","-8.42%"
"2019년 05월 15일","0.4571","0.4101","0.4666","0.4086","516.62M","11.82%"
"2019년 05월 14일","0.4088","0.3246","0.4209","0.3232","689.23M","25.90%"
"2019년 05월 13일","0.3247","0.3102","0.3292","0.3082","222.14M","4.61%"
"2019년 05월 12일","0.3104","0.3204","0.3298","0.3051","278.93M","-3.48%"
"2019년 05월 11일","0.3216","0.2988","0.3383","0.2985","275.73M","7.63%"
"2019년 05월 10일","0.2988","0.2948","0.3016","0.2916","86.86M","1.39%"
"2019년 05월 09일","0.2947","0.2995","0.3015","0.2921","75.23M","-1.57%"
"2019년 05월 08일","0.2994","0.2984","0.3024","0.2960","76.36M","0.30%"
"2019년 05월 07일","0.2985","0.3029","0.3071","0.2979","106.58M","-1.42%"
"2019년 05월 06일","0.3028","0.3002","0.3073","0.2952","94.01M","0.93%"
"2019년 05월 05일","0.3000","0.3031","0.3050","0.2989","60.37M","-1.02%"
"2019년 05월 04일","0.3031","0.3079","0.3183","0.2973","129.13M","-1.49%"
"2019년 05월 03일","0.3077","0.3022","0.3105","0.3007","126.42M","1.69%"
"2019년 05월 02일","0.3026","0.3031","0.3045","0.3008","62.05M","-0.13%"
"2019년 05월 01일","0.3030","0.3085","0.3098","0.3000","81.63M","-1.75%"
