"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 01월 28일","0.2922","0.3066","0.3076","0.2810","72.46M","-4.73%"
"2019년 01월 27일","0.3067","0.3126","0.3141","0.3037","31.61M","-1.92%"
"2019년 01월 26일","0.3127","0.3139","0.3180","0.3123","23.94M","-0.48%"
"2019년 01월 25일","0.3142","0.3162","0.3171","0.3105","26.28M","-0.54%"
"2019년 01월 24일","0.3159","0.3142","0.3177","0.3135","22.69M","0.61%"
"2019년 01월 23일","0.3140","0.3177","0.3199","0.3121","44.08M","-1.16%"
"2019년 01월 22일","0.3177","0.3173","0.3206","0.3056","60.96M","0.13%"
"2019년 01월 21일","0.3173","0.3170","0.3219","0.3129","26.01M","0.09%"
"2019년 01월 20일","0.3170","0.3268","0.3286","0.3109","36.94M","-3.00%"
"2019년 01월 19일","0.3268","0.3203","0.3330","0.3196","37.92M","2.03%"
"2019년 01월 18일","0.3203","0.3248","0.3255","0.3160","29.90M","-1.39%"
"2019년 01월 17일","0.3248","0.3257","0.3287","0.3194","44.11M","-0.28%"
"2019년 01월 16일","0.3257","0.3215","0.3326","0.3198","41.10M","1.31%"
"2019년 01월 15일","0.3215","0.3285","0.3317","0.3166","37.17M","-2.13%"
"2019년 01월 14일","0.3285","0.3113","0.3350","0.3110","57.64M","5.53%"
"2019년 01월 13일","0.3113","0.3253","0.3298","0.3080","42.29M","-4.30%"
"2019년 01월 12일","0.3253","0.3260","0.3307","0.3200","32.01M","-0.21%"
"2019년 01월 11일","0.3260","0.3246","0.3318","0.3185","62.72M","0.43%"
"2019년 01월 10일","0.3246","0.3648","0.3793","0.3140","147.48M","-11.02%"
"2019년 01월 09일","0.3648","0.3608","0.3687","0.3579","53.81M","1.11%"
"2019년 01월 08일","0.3608","0.3603","0.3676","0.3544","58.34M","0.14%"
"2019년 01월 07일","0.3603","0.3604","0.3725","0.3564","82.77M","-0.03%"
"2019년 01월 06일","0.3604","0.3485","0.3650","0.3452","62.69M","3.41%"
"2019년 01월 05일","0.3485","0.3528","0.3596","0.3450","56.13M","-1.22%"
"2019년 01월 04일","0.3528","0.3525","0.3585","0.3438","49.48M","0.09%"
"2019년 01월 03일","0.3525","0.3688","0.3693","0.3481","43.04M","-4.42%"
"2019년 01월 02일","0.3688","0.3603","0.3747","0.3533","65.95M","2.36%"
"2019년 01월 01일","0.3603","0.3484","0.3607","0.3453","40.51M","3.42%"
"2018년 12월 31일","0.3484","0.3650","0.3698","0.3433","61.74M","-4.55%"
"2018년 12월 30일","0.3650","0.3560","0.3662","0.3515","60.48M","2.53%"
"2018년 12월 29일","0.3560","0.3706","0.3791","0.3534","83.94M","-3.94%"
"2018년 12월 28일","0.3706","0.3336","0.3750","0.3289","82.86M","11.09%"
"2018년 12월 27일","0.3336","0.3729","0.3750","0.3255","71.43M","-10.54%"
"2018년 12월 26일","0.3729","0.3757","0.3882","0.3541","100.82M","-0.75%"
"2018년 12월 25일","0.3757","0.4007","0.4038","0.3609","147.80M","-6.24%"
"2018년 12월 24일","0.4007","0.3667","0.4500","0.3666","256.07M","9.27%"
"2018년 12월 23일","0.3667","0.3566","0.3780","0.3545","86.93M","2.83%"
"2018년 12월 22일","0.3566","0.3545","0.3597","0.3440","57.19M","0.59%"
"2018년 12월 21일","0.3545","0.3724","0.3827","0.3485","109.21M","-4.81%"
"2018년 12월 20일","0.3724","0.3448","0.3890","0.3397","154.37M","8.00%"
"2018년 12월 19일","0.3448","0.3496","0.3924","0.3419","137.71M","-1.37%"
"2018년 12월 18일","0.3496","0.3274","0.3499","0.3218","106.92M","6.78%"
"2018년 12월 17일","0.3274","0.2866","0.3361","0.2847","101.90M","14.24%"
"2018년 12월 16일","0.2866","0.2844","0.2956","0.2821","41.80M","0.77%"
"2018년 12월 15일","0.2844","0.2878","0.2919","0.2806","42.11M","-1.18%"
"2018년 12월 14일","0.2878","0.2993","0.3005","0.2834","56.35M","-3.84%"
"2018년 12월 13일","0.2993","0.3047","0.3058","0.2956","52.33M","-1.77%"
"2018년 12월 12일","0.3047","0.2992","0.3109","0.2970","47.59M","1.84%"
"2018년 12월 11일","0.2992","0.2993","0.3100","0.2941","58.03M","-0.03%"
"2018년 12월 10일","0.2993","0.3091","0.3132","0.2942","51.24M","-3.17%"
"2018년 12월 09일","0.3091","0.3027","0.3193","0.2981","70.98M","2.11%"
"2018년 12월 08일","0.3027","0.3010","0.3223","0.2914","111.71M","0.56%"
"2018년 12월 07일","0.3010","0.3093","0.3125","0.2876","175.91M","-2.68%"
"2018년 12월 06일","0.3093","0.3387","0.3458","0.3062","99.56M","-8.68%"
"2018년 12월 05일","0.3387","0.3521","0.3541","0.3379","71.63M","-3.81%"
"2018년 12월 04일","0.3521","0.3487","0.3628","0.3393","78.98M","0.98%"
"2018년 12월 03일","0.3487","0.3702","0.3708","0.3460","63.33M","-5.81%"
"2018년 12월 02일","0.3702","0.3722","0.3798","0.3656","56.40M","-0.54%"
