"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 05월 13일","153,000","153,000","153,000","153,000","-","0.00%"
"2018년 05월 11일","153,000","152,000","154,000","151,500","318.92K","0.66%"
"2018년 05월 10일","152,000","152,500","154,000","150,500","735.55K","-0.98%"
"2018년 05월 09일","153,500","154,500","156,000","153,500","513.57K","-1.60%"
"2018년 05월 08일","156,000","158,500","161,000","154,500","594.87K","-1.27%"
"2018년 05월 07일","158,000","158,000","158,000","158,000","-","0.00%"
"2018년 05월 04일","158,000","158,000","160,000","156,500","448.68K","-1.25%"
"2018년 05월 03일","160,000","162,500","163,000","160,000","324.70K","0.00%"
"2018년 05월 02일","160,000","159,000","160,500","157,000","376.64K","0.00%"
"2018년 05월 01일","160,000","160,000","160,000","160,000","-","0.00%"
"2018년 04월 30일","160,000","159,000","160,500","157,000","351.17K","1.27%"
"2018년 04월 29일","158,000","158,000","158,000","158,000","-","0.00%"
"2018년 04월 27일","158,000","155,000","161,500","154,000","886.23K","0.96%"
"2018년 04월 26일","156,500","164,000","164,000","154,500","860.23K","-4.57%"
"2018년 04월 25일","164,000","162,000","164,000","160,000","407.37K","0.92%"
"2018년 04월 24일","162,500","161,500","165,500","161,500","624.00K","1.88%"
"2018년 04월 23일","159,500","160,000","160,000","157,000","283.89K","-0.31%"
"2018년 04월 22일","160,000","160,000","160,000","160,000","-","0.00%"
"2018년 04월 20일","160,000","157,000","160,000","156,500","405.48K","1.27%"
"2018년 04월 19일","158,000","157,500","158,000","155,000","344.03K","-0.32%"
"2018년 04월 18일","158,500","158,000","159,500","157,000","476.06K","0.63%"
"2018년 04월 17일","157,500","154,000","158,000","154,000","670.48K","2.94%"
"2018년 04월 16일","153,000","151,000","154,000","150,000","302.84K","1.66%"
"2018년 04월 15일","150,500","150,500","150,500","150,500","-","0.00%"
"2018년 04월 13일","150,500","151,500","152,000","149,500","425.13K","-0.99%"
"2018년 04월 12일","152,000","151,000","152,500","150,000","293.10K","1.33%"
"2018년 04월 11일","150,000","150,500","152,000","150,000","328.61K","-0.66%"
"2018년 04월 10일","151,000","150,000","153,000","149,000","371.22K","0.00%"
"2018년 04월 09일","151,000","152,000","153,000","150,500","318.73K","-0.98%"
"2018년 04월 06일","152,500","155,000","155,500","152,000","328.54K","-0.97%"
"2018년 04월 05일","154,000","157,000","158,000","153,500","403.48K","-1.60%"
"2018년 04월 04일","156,500","156,000","159,500","155,000","1.20M","2.96%"
"2018년 04월 03일","152,000","147,000","152,500","145,500","705.25K","2.36%"
"2018년 04월 02일","148,500","144,500","148,500","144,000","568.53K","3.48%"
"2018년 04월 01일","143,500","143,500","143,500","143,500","-","0.00%"
"2018년 03월 30일","143,500","144,000","145,500","142,500","524.29K","0.00%"
"2018년 03월 29일","143,500","150,500","152,000","142,500","1.53M","-5.28%"
"2018년 03월 28일","151,500","153,000","155,000","148,000","904.78K","-1.62%"
"2018년 03월 27일","154,000","150,000","154,000","149,500","682.93K","3.01%"
"2018년 03월 26일","149,500","151,000","152,500","149,500","465.91K","-1.32%"
"2018년 03월 25일","151,500","151,500","151,500","151,500","-","0.00%"
"2018년 03월 23일","151,500","151,000","153,000","150,500","554.15K","-0.66%"
"2018년 03월 22일","152,500","154,500","154,500","152,000","329.95K","-1.29%"
"2018년 03월 21일","154,500","152,500","155,000","152,500","276.38K","1.31%"
"2018년 03월 20일","152,500","150,500","153,500","150,000","310.37K","0.66%"
"2018년 03월 19일","151,500","152,500","153,000","150,000","747.78K","-3.81%"
"2018년 03월 18일","157,500","157,500","157,500","157,500","-","0.00%"
"2018년 03월 16일","157,500","158,000","159,500","156,000","351.75K","0.00%"
"2018년 03월 15일","157,500","156,500","159,000","155,000","347.95K","0.96%"
"2018년 03월 14일","156,000","152,500","157,000","152,000","605.37K","1.63%"
"2018년 03월 13일","153,500","152,500","155,000","152,500","378.00K","0.00%"
"2018년 03월 12일","153,500","154,000","155,500","153,000","401.00K","-0.32%"
"2018년 03월 11일","154,000","154,000","154,000","154,000","-","0.00%"
"2018년 03월 09일","154,000","153,500","155,000","152,500","460.33K","-0.32%"
"2018년 03월 08일","154,500","153,500","155,000","152,000","487.89K","1.31%"
"2018년 03월 07일","152,500","154,000","155,000","152,000","598.31K","-2.87%"
"2018년 03월 06일","157,000","154,500","158,000","154,500","375.49K","2.61%"
"2018년 03월 05일","153,000","155,500","157,000","152,500","410.24K","-1.92%"
"2018년 03월 04일","156,000","156,000","156,000","156,000","-","0.00%"
"2018년 03월 02일","156,000","158,000","159,000","154,500","590.60K","-3.41%"
"2018년 03월 01일","161,500","161,500","161,500","161,500","-","0.00%"
"2018년 02월 28일","161,500","159,000","163,000","158,000","496.74K","0.31%"
"2018년 02월 27일","161,000","160,500","162,000","160,000","262.75K","0.00%"
"2018년 02월 26일","161,000","159,000","162,000","157,500","512.71K","1.26%"
"2018년 02월 23일","159,000","158,500","159,500","157,500","275.90K","1.27%"
"2018년 02월 22일","157,000","159,000","159,500","156,000","335.39K","-1.88%"
"2018년 02월 21일","160,000","152,500","161,000","152,500","537.05K","4.23%"
"2018년 02월 20일","153,500","155,000","156,000","152,500","218.74K","-0.97%"
"2018년 02월 19일","155,000","156,500","157,000","154,500","265.00K","0.32%"
"2018년 02월 18일","154,500","154,500","154,500","154,500","-","0.00%"
"2018년 02월 14일","154,500","152,000","155,000","152,000","265.67K","1.31%"
"2018년 02월 13일","152,500","154,000","155,500","152,000","527.32K","-0.97%"
"2018년 02월 12일","154,000","155,500","156,500","153,500","482.84K","-0.65%"
"2018년 02월 11일","155,000","155,000","155,000","155,000","-","0.00%"
"2018년 02월 09일","155,000","156,500","158,500","154,500","721.58K","-3.73%"
"2018년 02월 08일","161,000","158,500","163,500","156,500","883.20K","2.22%"
"2018년 02월 07일","157,500","157,500","160,500","156,000","551.97K","0.00%"
"2018년 02월 06일","157,500","158,000","161,000","153,500","576.42K","-0.94%"
"2018년 02월 05일","159,000","162,500","163,000","159,000","552.04K","-2.15%"
"2018년 02월 04일","162,500","162,500","162,500","162,500","-","0.00%"
"2018년 02월 02일","162,500","161,000","164,000","160,500","584.78K","1.25%"
"2018년 02월 01일","160,500","161,500","162,000","158,500","477.72K","-0.93%"
"2018년 01월 31일","162,000","157,000","162,000","154,500","925.71K","3.85%"
"2018년 01월 30일","156,000","155,000","158,000","154,500","458.32K","0.97%"
"2018년 01월 29일","154,500","153,000","155,500","152,000","504.19K","1.31%"
"2018년 01월 28일","152,500","152,500","152,500","152,500","-","0.00%"
"2018년 01월 26일","152,500","155,000","155,500","149,000","1.06M","-3.79%"
"2018년 01월 25일","158,500","155,500","159,000","154,000","775.67K","1.28%"
"2018년 01월 24일","156,500","160,500","162,000","156,000","636.97K","-2.80%"
"2018년 01월 23일","161,000","163,000","167,500","161,000","727.56K","-0.92%"
"2018년 01월 22일","162,500","162,500","164,000","158,500","528.45K","0.31%"
"2018년 01월 21일","162,000","162,000","162,000","162,000","-","0.00%"
"2018년 01월 19일","162,000","155,000","162,000","154,500","636.42K","4.52%"
"2018년 01월 18일","155,000","157,500","158,000","154,000","321.93K","-1.59%"
"2018년 01월 17일","157,500","157,000","159,000","156,000","362.73K","-0.32%"
"2018년 01월 16일","158,000","153,500","158,000","153,000","386.95K","1.94%"
"2018년 01월 15일","155,000","154,000","155,000","151,000","315.55K","0.65%"
"2018년 01월 12일","154,000","153,500","156,000","153,500","370.55K","-0.65%"
"2018년 01월 11일","155,000","156,000","156,500","152,500","476.28K","-0.32%"
"2018년 01월 10일","155,500","152,500","158,000","152,000","650.56K","1.97%"
"2018년 01월 09일","152,500","151,000","152,500","149,500","450.37K","0.99%"
"2018년 01월 08일","151,000","148,500","151,000","147,500","474.14K","1.34%"
"2018년 01월 07일","149,000","149,000","149,000","149,000","-","0.00%"
"2018년 01월 05일","149,000","146,000","149,000","145,500","454.04K","1.71%"
"2018년 01월 04일","146,500","150,500","151,000","146,000","927.99K","-2.66%"
"2018년 01월 03일","150,500","149,000","151,000","149,000","450.27K","0.67%"
"2018년 01월 02일","149,500","150,500","153,000","149,000","728.79K","-4.17%"
"2018년 01월 01일","156,000","156,000","156,000","156,000","-","0.00%"
