"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 04월 26일","78,600","78,500","79,900","77,600","4.71M","-2.00%"
"2019년 04월 25일","80,200","78,400","81,500","78,100","5.36M","2.17%"
"2019년 04월 24일","78,500","81,500","81,500","77,500","4.10M","-3.09%"
"2019년 04월 23일","81,000","81,000","81,800","80,400","1.78M","0.62%"
"2019년 04월 22일","80,500","81,500","81,800","79,900","1.89M","-1.59%"
"2019년 04월 19일","81,800","80,500","82,400","80,100","3.04M","3.28%"
"2019년 04월 18일","79,200","80,800","81,200","78,500","3.08M","-1.25%"
"2019년 04월 17일","80,200","81,000","82,300","80,000","2.85M","-0.25%"
"2019년 04월 16일","80,400","79,900","80,800","79,100","2.20M","0.88%"
"2019년 04월 15일","79,700","79,000","79,900","78,600","2.02M","2.05%"
"2019년 04월 12일","78,100","77,400","78,800","77,400","1.97M","-0.38%"
"2019년 04월 11일","78,400","79,200","79,500","78,000","2.15M","-0.25%"
"2019년 04월 10일","78,600","76,700","78,800","76,200","2.46M","1.03%"
"2019년 04월 09일","77,800","77,700","78,700","77,400","2.32M","-0.13%"
"2019년 04월 08일","77,900","78,900","79,200","77,600","2.65M","-1.39%"
"2019년 04월 05일","79,000","78,200","79,300","77,900","2.06M","0.77%"
"2019년 04월 04일","78,400","80,400","81,400","77,800","5.30M","-1.88%"
"2019년 04월 03일","79,900","76,800","79,900","76,500","4.66M","4.58%"
"2019년 04월 02일","76,400","77,900","78,000","76,100","2.62M","-0.26%"
"2019년 04월 01일","76,600","75,600","77,100","75,500","3.57M","3.23%"
"2019년 03월 29일","74,200","72,900","74,900","72,700","3.21M","2.63%"
"2019년 03월 28일","72,300","72,300","73,600","71,700","2.77M","-1.50%"
"2019년 03월 27일","73,400","71,800","74,100","71,200","2.74M","0.96%"
"2019년 03월 26일","72,700","72,900","73,300","71,500","2.97M","-0.27%"
"2019년 03월 25일","72,900","73,700","74,200","72,600","3.74M","-4.20%"
"2019년 03월 22일","76,100","78,900","78,900","75,900","5.28M","0.26%"
"2019년 03월 21일","75,900","73,500","76,000","72,600","10.00M","7.66%"
"2019년 03월 20일","70,500","68,400","70,600","67,600","3.59M","3.68%"
"2019년 03월 19일","68,000","67,300","68,000","66,600","2.24M","0.29%"
