"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 08월 12일","771,000","771,000","771,000","771,000","-","400.00%"
"2018년 08월 10일","154,200","155,400","156,400","154,000","345.26K","-1.03%"
"2018년 08월 09일","155,800","150,600","155,800","149,000","621.14K","3.87%"
"2018년 08월 08일","150,000","148,400","151,200","148,400","237.80K","0.81%"
"2018년 08월 07일","148,800","148,400","150,800","147,200","320.39K","1.22%"
"2018년 08월 06일","147,000","146,600","149,600","146,200","300.88K","-79.89%"
"2018년 08월 05일","731,000","731,000","731,000","731,000","-","400.00%"
"2018년 08월 03일","146,200","144,600","146,200","144,200","209.68K","0.41%"
"2018년 08월 02일","145,600","145,600","147,600","144,200","268.80K","0.00%"
"2018년 08월 01일","145,600","143,600","145,600","143,000","308.44K","1.68%"
"2018년 07월 31일","143,200","145,200","145,600","142,400","618.19K","-1.92%"
"2018년 07월 30일","146,000","149,400","149,600","145,200","543.26K","-2.80%"
"2018년 07월 27일","150,200","147,000","150,200","146,600","542.41K","0.00%"
"2018년 07월 26일","150,200","150,400","152,200","143,200","1.12M","0.67%"
"2018년 07월 25일","149,200","151,800","151,800","148,400","406.45K","0.13%"
"2018년 07월 24일","149,000","155,000","155,200","148,400","421.97K","-3.75%"
"2018년 07월 23일","154,800","154,200","155,400","153,000","373.71K","0.52%"
"2018년 07월 20일","154,000","153,000","154,400","151,000","252.18K","0.65%"
"2018년 07월 19일","153,000","154,400","156,000","152,600","252.11K","0.13%"
"2018년 07월 18일","152,800","152,400","154,200","151,800","158.79K","0.66%"
"2018년 07월 17일","151,800","153,800","153,800","151,000","263.95K","-1.56%"
"2018년 07월 16일","154,200","154,200","154,600","153,400","247.01K","-80.00%"
"2018년 07월 15일","771,000","771,000","771,000","771,000","-","400.00%"
"2018년 07월 13일","154,200","156,000","156,400","153,000","355.85K","-1.41%"
"2018년 07월 12일","156,400","155,000","156,400","152,800","478.29K","1.69%"
"2018년 07월 11일","153,800","152,600","154,200","151,400","387.12K","1.18%"
"2018년 07월 10일","152,000","151,400","153,600","151,200","335.48K","0.66%"
"2018년 07월 09일","151,000","149,800","155,800","149,600","471.85K","0.80%"
"2018년 07월 06일","149,800","151,000","151,600","149,200","389.13K","-2.09%"
"2018년 07월 05일","153,000","151,200","153,800","151,200","282.18K","-0.39%"
"2018년 07월 04일","153,600","153,800","155,800","152,000","824.28K","2.81%"
"2018년 07월 03일","149,400","151,800","152,600","148,600","431.34K","-0.53%"
"2018년 07월 02일","150,200","153,000","153,000","149,000","527.04K","-1.57%"
"2018년 06월 29일","152,600","150,000","152,800","149,600","764.30K","2.14%"
"2018년 06월 28일","149,400","147,600","150,200","145,200","673.74K","1.08%"
"2018년 06월 27일","147,800","149,400","149,600","147,800","419.06K","0.54%"
"2018년 06월 26일","147,000","148,400","149,200","146,000","533.19K","-1.74%"
"2018년 06월 25일","149,600","145,600","150,000","145,400","1.28M","-79.31%"
"2018년 06월 24일","723,000","723,000","723,000","723,000","-","400.00%"
"2018년 06월 22일","144,600","138,000","144,800","138,000","801.08K","3.43%"
"2018년 06월 21일","139,800","137,000","140,600","136,800","589.31K","1.45%"
"2018년 06월 20일","137,800","137,800","138,400","137,400","531.95K","0.15%"
"2018년 06월 19일","137,600","138,000","138,800","137,600","551.44K","-0.86%"
"2018년 06월 18일","138,800","138,000","139,000","137,200","464.13K","-79.88%"
"2018년 06월 17일","690,000","690,000","690,000","690,000","-","400.00%"
"2018년 06월 15일","138,000","141,000","141,200","137,400","649.45K","-2.40%"
"2018년 06월 14일","141,400","143,800","145,000","141,000","789.54K","-80.28%"
"2018년 06월 13일","717,000","717,000","717,000","717,000","-","400.00%"
"2018년 06월 12일","143,400","142,400","143,800","140,800","583.27K","0.84%"
"2018년 06월 11일","142,200","140,200","142,400","139,000","624.02K","-79.71%"
"2018년 06월 10일","701,000","701,000","701,000","701,000","-","400.00%"
"2018년 06월 08일","140,200","136,000","141,600","136,000","916.57K","3.09%"
"2018년 06월 07일","136,000","135,000","136,400","134,800","374.56K","0.89%"
"2018년 06월 05일","134,800","135,600","136,000","132,800","335.65K","0.15%"
"2018년 06월 04일","134,600","136,200","137,400","134,200","409.28K","-80.21%"
"2018년 06월 03일","680,000","680,000","680,000","680,000","-","400.00%"
"2018년 06월 01일","136,000","134,800","137,200","134,400","455.43K","1.64%"
"2018년 05월 31일","133,800","132,000","134,200","130,800","1.04M","2.61%"
"2018년 05월 30일","130,400","133,400","134,000","129,600","667.65K","-2.40%"
"2018년 05월 29일","133,600","135,800","136,000","133,400","467.27K","-1.76%"
"2018년 05월 28일","136,000","137,000","137,400","135,800","270.14K","-80.15%"
"2018년 05월 27일","685,000","685,000","685,000","685,000","-","400.00%"
"2018년 05월 25일","137,000","137,000","138,800","136,400","378.46K","0.74%"
"2018년 05월 24일","136,000","136,400","137,000","135,600","215.96K","-0.58%"
"2018년 05월 23일","136,800","136,000","137,600","135,400","429.52K","-79.94%"
"2018년 05월 22일","682,000","682,000","682,000","682,000","-","400.00%"
"2018년 05월 21일","136,400","137,200","138,000","135,200","504.64K","-80.17%"
"2018년 05월 20일","688,000","688,000","688,000","688,000","-","400.00%"
"2018년 05월 18일","137,600","139,400","140,000","136,800","563.26K","-1.29%"
"2018년 05월 17일","139,400","140,000","140,600","139,400","422.33K","-0.43%"
"2018년 05월 16일","140,000","142,400","143,000","139,600","619.55K","-1.55%"
"2018년 05월 15일","142,200","142,800","143,600","142,200","393.36K","-0.84%"
"2018년 05월 14일","143,400","144,000","144,400","142,800","279.94K","-80.00%"
"2018년 05월 13일","717,000","717,000","717,000","717,000","-","400.00%"
"2018년 05월 11일","143,400","144,200","145,800","142,800","547.47K","-0.42%"
"2018년 05월 10일","144,000","146,000","147,000","143,600","416.33K","-0.96%"
"2018년 05월 09일","145,400","146,000","148,000","144,600","475.60K","-0.55%"
"2018년 05월 08일","146,200","145,400","147,600","144,200","453.79K","-79.61%"
"2018년 05월 07일","717,000","717,000","717,000","717,000","-","400.00%"
"2018년 05월 04일","143,400","145,000","147,000","143,400","507.55K","-1.38%"
"2018년 05월 03일","145,400","147,800","149,000","145,200","310.70K","-1.49%"
"2018년 05월 02일","147,600","145,200","147,800","144,800","508.61K","-79.39%"
"2018년 05월 01일","716,000","716,000","716,000","716,000","-","400.00%"
"2018년 04월 30일","143,200","144,200","144,200","142,400","302.35K","-80.00%"
"2018년 04월 29일","716,000","716,000","716,000","716,000","-","400.00%"
"2018년 04월 27일","143,200","145,000","145,400","142,400","950.00K","-1.24%"
"2018년 04월 26일","145,000","146,400","149,200","145,000","944.80K","-2.42%"
