"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 10월 27일","5.4204","5.4462","5.4611","5.4080","6.96M","-0.47%"
"2018년 10월 26일","5.4462","5.4330","5.4972","5.3911","10.27M","0.24%"
"2018년 10월 25일","5.4331","5.4386","5.4666","5.4069","8.54M","-0.10%"
"2018년 10월 24일","5.4386","5.4857","5.5179","5.4309","10.59M","-0.86%"
"2018년 10월 23일","5.4856","5.4699","5.5196","5.4209","12.23M","0.29%"
"2018년 10월 22일","5.4699","5.5164","5.5550","5.4531","11.61M","-0.84%"
"2018년 10월 21일","5.5163","5.4582","5.6249","5.4550","13.64M","1.06%"
"2018년 10월 20일","5.4586","5.4045","5.5118","5.3870","11.88M","0.99%"
"2018년 10월 19일","5.4053","5.4604","5.4839","5.3625","12.80M","-1.04%"
"2018년 10월 18일","5.4619","5.5734","5.6293","5.4256","14.47M","-2.00%"
"2018년 10월 17일","5.5734","5.5831","5.6164","5.5222","8.96M","-0.17%"
"2018년 10월 16일","5.5831","5.5985","5.6728","5.5114","10.89M","-0.27%"
"2018년 10월 15일","5.5985","5.2105","6.0121","5.1634","44.27M","7.48%"
"2018년 10월 14일","5.2087","5.3050","5.3299","5.1834","14.62M","-1.81%"
"2018년 10월 13일","5.3049","5.2034","5.3300","5.1850","11.40M","1.94%"
"2018년 10월 12일","5.2039","5.0927","5.3195","5.0224","20.63M","2.14%"
"2018년 10월 11일","5.0949","5.9232","5.9236","5.0255","42.51M","-13.99%"
"2018년 10월 10일","5.9239","5.9209","5.9551","5.8128","14.59M","0.05%"
"2018년 10월 09일","5.9212","5.9370","5.9690","5.8489","16.10M","-0.26%"
"2018년 10월 08일","5.9364","5.7618","6.0135","5.7271","24.03M","3.03%"
"2018년 10월 07일","5.7618","5.7334","5.7943","5.6384","15.29M","0.45%"
"2018년 10월 06일","5.7362","5.8242","5.8493","5.6788","13.41M","-1.51%"
"2018년 10월 05일","5.8242","5.7984","5.8860","5.6728","18.18M","0.45%"
"2018년 10월 04일","5.7983","5.6168","5.8809","5.6042","22.22M","3.25%"
"2018년 10월 03일","5.6160","5.6204","5.6836","5.4495","18.11M","-0.08%"
"2018년 10월 02일","5.6204","5.7357","5.7712","5.5529","14.58M","-2.00%"
"2018년 10월 01일","5.7351","5.7149","5.8305","5.5304","26.27M","0.35%"
"2018년 09월 30일","5.7149","5.7458","5.9114","5.3773","33.56M","-0.61%"
"2018년 09월 29일","5.7497","5.7638","5.8236","5.4667","22.24M","-0.25%"
"2018년 09월 28일","5.7638","5.8240","6.0320","5.6629","29.95M","-1.02%"
"2018년 09월 27일","5.8234","5.5452","5.9554","5.3613","25.21M","5.02%"
"2018년 09월 26일","5.5452","5.4032","5.7638","5.2374","24.66M","2.62%"
"2018년 09월 25일","5.4035","5.6744","5.6758","5.0320","41.61M","-4.77%"
"2018년 09월 24일","5.6745","6.0191","6.0318","5.5978","26.99M","-5.72%"
"2018년 09월 23일","6.0187","5.9448","6.1505","5.8264","22.85M","1.24%"
"2018년 09월 22일","5.9450","6.1917","6.2938","5.7750","29.73M","-3.98%"
"2018년 09월 21일","6.1917","5.7515","6.1928","5.6358","43.57M","7.65%"
"2018년 09월 20일","5.7518","5.2353","5.8470","5.1850","33.75M","9.86%"
"2018년 09월 19일","5.2355","5.0618","5.3036","4.9315","29.81M","3.33%"
"2018년 09월 18일","5.0669","4.8500","5.2321","4.7766","33.50M","4.45%"
"2018년 09월 17일","4.8510","5.4113","5.4720","4.6738","40.07M","-10.35%"
"2018년 09월 16일","5.4113","5.3483","5.4841","5.2056","19.26M","1.13%"
"2018년 09월 15일","5.3510","5.2273","5.5162","5.2182","19.62M","2.29%"
"2018년 09월 14일","5.2312","5.3810","5.5273","5.1320","27.23M","-2.78%"
"2018년 09월 13일","5.3808","4.9413","5.5485","4.9329","37.38M","8.89%"
"2018년 09월 12일","4.9413","4.9860","4.9863","4.7624","26.23M","-0.90%"
"2018년 09월 11일","4.9860","5.0330","5.0902","4.7360","22.10M","-0.90%"
"2018년 09월 10일","5.0312","4.9433","5.1066","4.8890","17.16M","1.79%"
"2018년 09월 09일","4.9428","4.7429","5.1790","4.6617","28.80M","4.22%"
