"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 05월 28일","0.13901","0.13793","0.14162","0.13342","824.86M","0.78%"
"2019년 05월 27일","0.13793","0.13206","0.14372","0.13160","844.48M","4.46%"
"2019년 05월 26일","0.13204","0.12649","0.13411","0.12314","645.57M","4.39%"
"2019년 05월 25일","0.12649","0.12631","0.12870","0.12538","429.44M","0.15%"
"2019년 05월 24일","0.12631","0.12650","0.12963","0.12282","590.13M","-0.16%"
"2019년 05월 23일","0.12650","0.12391","0.12716","0.11944","501.55M","2.09%"
"2019년 05월 22일","0.12391","0.13471","0.13787","0.12265","658.78M","-7.99%"
"2019년 05월 21일","0.13467","0.13566","0.13674","0.13213","522.88M","-0.72%"
"2019년 05월 20일","0.13565","0.14188","0.14206","0.13034","876.13M","-4.41%"
"2019년 05월 19일","0.14190","0.13109","0.14440","0.12962","778.96M","8.25%"
"2019년 05월 18일","0.13109","0.13078","0.14061","0.12898","801.43M","0.27%"
"2019년 05월 17일","0.13074","0.13831","0.14058","0.11715","1.24B","-5.46%"
"2019년 05월 16일","0.13829","0.14004","0.16040","0.13168","1.95B","-1.25%"
"2019년 05월 15일","0.14004","0.11387","0.14012","0.11382","1.13B","23.03%"
"2019년 05월 14일","0.11382","0.10036","0.11667","0.09979","1.23B","13.41%"
"2019년 05월 13일","0.10037","0.09908","0.10356","0.09898","768.57M","1.29%"
"2019년 05월 12일","0.09908","0.10442","0.10519","0.09632","762.07M","-5.08%"
"2019년 05월 11일","0.10439","0.09315","0.10603","0.09296","847.29M","12.06%"
"2019년 05월 10일","0.09315","0.08904","0.09325","0.08828","621.28M","4.65%"
"2019년 05월 09일","0.08901","0.09281","0.09627","0.08769","646.18M","-4.07%"
"2019년 05월 08일","0.09279","0.09363","0.09446","0.09210","444.88M","-0.88%"
"2019년 05월 07일","0.09361","0.09751","0.09931","0.09360","359.63M","-4.00%"
"2019년 05월 06일","0.09751","0.09792","0.09911","0.09512","476.62M","-0.43%"
"2019년 05월 05일","0.09793","0.09907","0.10021","0.09761","498.42M","-1.15%"
"2019년 05월 04일","0.09907","0.10228","0.10420","0.09749","578.36M","-3.14%"
"2019년 05월 03일","0.10228","0.10039","0.10299","0.09926","602.91M","1.90%"
"2019년 05월 02일","0.10037","0.10164","0.10192","0.09976","460.06M","-1.24%"
"2019년 05월 01일","0.10163","0.10087","0.10267","0.10029","479.25M","0.75%"
"2019년 04월 30일","0.10087","0.09629","0.10134","0.09587","440.00M","4.76%"
"2019년 04월 29일","0.09629","0.09930","0.10236","0.09549","539.34M","-3.04%"
"2019년 04월 28일","0.09931","0.10111","0.10227","0.09856","434.68M","-1.78%"
"2019년 04월 27일","0.10111","0.09998","0.10252","0.09916","456.56M","1.14%"
"2019년 04월 26일","0.09998","0.09925","0.10285","0.09723","617.55M","0.75%"
"2019년 04월 25일","0.09924","0.10236","0.10507","0.09755","667.53M","-3.05%"
"2019년 04월 24일","0.10236","0.10947","0.10978","0.09938","669.97M","-6.50%"
"2019년 04월 23일","0.10947","0.11261","0.11330","0.10931","480.09M","-2.78%"
