"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 01월 31일","127.65","127.45","127.85","126.40","13.42M","0.67%"
"2018년 01월 30일","126.80","127.91","127.92","126.74","9.74M","-0.43%"
"2018년 01월 29일","127.35","127.58","127.63","126.92","6.96M","-0.56%"
"2018년 01월 26일","128.07","128.24","128.52","127.97","7.83M","0.08%"
"2018년 01월 25일","127.97","128.69","129.51","127.36","15.22M","-0.67%"
"2018년 01월 24일","128.83","128.39","129.26","128.23","11.83M","1.22%"
"2018년 01월 23일","127.28","126.53","127.35","126.34","6.19M","0.50%"
"2018년 01월 22일","126.65","126.51","126.75","126.28","4.89M","0.18%"
"2018년 01월 19일","126.42","126.57","126.73","126.41","8.77M","0.44%"
"2018년 01월 18일","125.86","126.13","126.52","125.80","6.29M","-0.22%"
"2018년 01월 17일","126.14","126.77","127.22","125.90","10.13M","-0.81%"
"2018년 01월 16일","127.17","126.60","127.18","126.40","8.08M","0.17%"
"2018년 01월 12일","126.96","126.01","127.13","125.81","9.26M","1.21%"
"2018년 01월 11일","125.44","125.37","125.66","125.25","5.99M","0.33%"
"2018년 01월 10일","125.03","125.17","125.31","124.72","14.81M","0.24%"
"2018년 01월 09일","124.73","124.49","124.86","124.23","9.15M","-0.46%"
"2018년 01월 08일","125.31","125.20","125.32","124.90","3.57M","-0.02%"
"2018년 01월 05일","125.33","124.93","125.48","124.83","5.74M","-0.10%"
"2018년 01월 04일","125.46","124.89","125.85","124.74","7.33M","0.51%"
"2018년 01월 03일","124.82","125.05","125.09","124.10","7.90M","-0.26%"
"2018년 01월 02일","125.15","124.66","125.18","124.39","11.76M","1.21%"
