"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 09월 24일","7,291.43","7,326.08","7,348.97","7,281.91","588.77M","-0.47%"
"2019년 09월 23일","7,326.08","7,344.92","7,362.30","7,284.75","489.65M","-0.26%"
"2019년 09월 20일","7,344.92","7,356.42","7,376.31","7,322.01","1.66B","-0.16%"
"2019년 09월 19일","7,356.42","7,314.05","7,373.08","7,290.69","632.74M","0.58%"
"2019년 09월 18일","7,314.05","7,320.40","7,350.52","7,300.37","642.71M","-0.09%"
"2019년 09월 17일","7,320.40","7,321.41","7,350.24","7,292.23","698.42M","-0.01%"
"2019년 09월 16일","7,321.41","7,367.46","7,378.32","7,321.41","908.26M","-0.63%"
"2019년 09월 13일","7,367.46","7,344.67","7,380.29","7,318.23","1.00B","0.31%"
"2019년 09월 12일","7,344.67","7,338.03","7,369.34","7,303.17","725.26M","0.09%"
"2019년 09월 11일","7,338.03","7,267.95","7,346.71","7,267.95","829.12M","0.96%"
"2019년 09월 10일","7,267.95","7,235.81","7,270.50","7,199.40","1.03B","0.44%"
"2019년 09월 09일","7,235.81","7,282.34","7,325.21","7,205.98","794.83M","-0.64%"
"2019년 09월 06일","7,282.34","7,271.17","7,284.11","7,244.13","692.28M","0.15%"
"2019년 09월 05일","7,271.17","7,311.26","7,330.71","7,250.63","711.30M","-0.55%"
"2019년 09월 04일","7,311.26","7,268.19","7,334.55","7,268.19","677.43M","0.59%"
"2019년 09월 03일","7,268.19","7,281.94","7,301.47","7,239.10","626.09M","-0.19%"
"2019년 09월 02일","7,281.94","7,207.18","7,315.26","7,206.90","497.75M","1.04%"
"2019년 08월 30일","7,207.18","7,184.32","7,240.37","7,179.70","727.84M","0.32%"
"2019년 08월 29일","7,184.32","7,114.71","7,199.20","7,103.12","635.67M","0.98%"
"2019년 08월 28일","7,114.71","7,089.58","7,131.21","7,050.00","675.63M","0.35%"
"2019년 08월 27일","7,089.58","7,094.98","7,110.76","7,044.73","851.39M","-0.08%"
"2019년 08월 23일","7,094.98","7,128.18","7,188.59","7,094.98","643.00M","-0.47%"
"2019년 08월 22일","7,128.18","7,203.97","7,203.97","7,103.67","653.34M","-1.05%"
"2019년 08월 21일","7,203.97","7,125.00","7,215.53","7,122.12","604.70M","1.11%"
"2019년 08월 20일","7,125.00","7,189.65","7,231.65","7,121.24","766.07M","-0.90%"
"2019년 08월 19일","7,189.65","7,117.15","7,214.23","7,117.15","612.86M","1.02%"
"2019년 08월 16일","7,117.15","7,067.01","7,125.90","7,067.01","651.94M","0.71%"
"2019년 08월 15일","7,067.01","7,147.88","7,148.75","7,020.22","806.74M","-1.13%"
"2019년 08월 14일","7,147.88","7,250.90","7,268.73","7,112.05","811.52M","-1.42%"
"2019년 08월 13일","7,250.90","7,226.72","7,281.14","7,166.86","698.40M","0.33%"
"2019년 08월 12일","7,226.72","7,253.85","7,305.56","7,207.46","585.46M","-0.37%"
"2019년 08월 09일","7,253.85","7,285.90","7,297.28","7,237.13","819.38M","-0.44%"
"2019년 08월 08일","7,285.90","7,198.70","7,285.90","7,191.25","748.51M","1.21%"
"2019년 08월 07일","7,198.70","7,171.69","7,237.88","7,153.89","758.26M","0.38%"
"2019년 08월 06일","7,171.69","7,223.85","7,241.57","7,166.98","816.23M","-0.72%"
"2019년 08월 05일","7,223.85","7,407.06","7,407.06","7,200.54","1.28B","-2.47%"
"2019년 08월 02일","7,407.06","7,584.87","7,585.24","7,397.91","1.06B","-2.34%"
"2019년 08월 01일","7,584.87","7,586.78","7,609.98","7,535.90","843.10M","-0.03%"
"2019년 07월 31일","7,586.78","7,646.77","7,648.20","7,576.12","1.13B","-0.78%"
"2019년 07월 30일","7,646.77","7,686.61","7,727.49","7,643.65","847.75M","-0.52%"
"2019년 07월 29일","7,686.61","7,549.06","7,711.34","7,548.86","782.74M","1.82%"
"2019년 07월 26일","7,549.06","7,489.05","7,553.55","7,486.74","799.74M","0.80%"
"2019년 07월 25일","7,489.05","7,501.46","7,542.64","7,462.73","651.31M","-0.17%"
"2019년 07월 24일","7,501.46","7,556.86","7,558.01","7,479.07","657.12M","-0.73%"
"2019년 07월 23일","7,556.86","7,514.93","7,598.60","7,514.93","654.56M","0.56%"
"2019년 07월 22일","7,514.93","7,508.70","7,549.71","7,491.79","528.99M","0.08%"
"2019년 07월 19일","7,508.70","7,493.09","7,546.65","7,475.49","593.42M","0.21%"
"2019년 07월 18일","7,493.09","7,535.46","7,535.46","7,482.60","519.63M","-0.56%"
"2019년 07월 17일","7,535.46","7,577.20","7,577.20","7,519.22","594.49M","-0.55%"
"2019년 07월 16일","7,577.20","7,531.72","7,590.07","7,524.52","625.96M","0.60%"
"2019년 07월 15일","7,531.72","7,505.97","7,548.33","7,487.44","497.44M","0.34%"
"2019년 07월 12일","7,505.97","7,509.82","7,537.10","7,493.80","516.64M","-0.05%"
"2019년 07월 11일","7,509.82","7,530.69","7,558.34","7,501.66","611.47M","-0.28%"
"2019년 07월 10일","7,530.69","7,536.47","7,559.12","7,515.61","559.06M","-0.08%"
"2019년 07월 09일","7,536.47","7,549.27","7,553.30","7,517.94","559.72M","-0.17%"
"2019년 07월 08일","7,549.27","7,553.14","7,571.34","7,538.67","554.95M","-0.05%"
"2019년 07월 05일","7,553.14","7,603.58","7,603.61","7,541.86","537.93M","-0.66%"
"2019년 07월 04일","7,603.58","7,609.32","7,622.58","7,601.33","502.80M","-0.08%"
"2019년 07월 03일","7,609.32","7,559.19","7,621.02","7,558.47","703.62M","0.66%"
"2019년 07월 02일","7,559.19","7,497.50","7,565.27","7,497.50","573.57M","0.82%"
"2019년 07월 01일","7,497.50","7,425.63","7,530.24","7,425.63","654.27M","0.97%"
"2019년 06월 28일","7,425.63","7,402.33","7,436.18","7,398.92","730.44M","0.31%"
"2019년 06월 27일","7,402.33","7,416.39","7,439.43","7,375.51","665.86M","-0.19%"
"2019년 06월 26일","7,416.39","7,422.43","7,435.90","7,405.54","673.95M","-0.08%"
"2019년 06월 25일","7,422.43","7,416.69","7,429.72","7,373.22","626.13M","0.08%"
"2019년 06월 24일","7,416.69","7,407.50","7,435.54","7,399.56","646.88M","0.12%"
"2019년 06월 21일","7,407.50","7,424.44","7,456.79","7,382.94","1.49B","-0.23%"
"2019년 06월 20일","7,424.44","7,403.54","7,460.83","7,403.54","698.66M","0.28%"
"2019년 06월 19일","7,403.54","7,443.04","7,454.93","7,399.17","774.63M","-0.53%"
"2019년 06월 18일","7,443.04","7,357.31","7,469.19","7,345.55","823.67M","1.17%"
"2019년 06월 17일","7,357.31","7,345.78","7,370.70","7,324.54","548.16M","0.16%"
"2019년 06월 14일","7,345.78","7,368.57","7,368.80","7,316.44","629.60M","-0.31%"
"2019년 06월 13일","7,368.57","7,367.62","7,398.61","7,350.98","627.57M","0.01%"
"2019년 06월 12일","7,367.62","7,398.45","7,398.45","7,329.26","824.87M","-0.42%"
"2019년 06월 11일","7,398.45","7,375.54","7,420.73","7,375.54","690.48M","0.31%"
"2019년 06월 10일","7,375.54","7,331.94","7,380.14","7,331.94","460.89M","0.59%"
"2019년 06월 07일","7,331.94","7,259.85","7,347.41","7,258.16","610.88M","0.99%"
"2019년 06월 06일","7,259.85","7,220.22","7,275.66","7,218.67","640.48M","0.55%"
"2019년 06월 05일","7,220.22","7,216.74","7,259.24","7,201.36","768.03M","0.08%"
"2019년 06월 04일","7,214.29","7,184.80","7,223.96","7,138.14","855.20M","0.41%"
"2019년 06월 03일","7,184.80","7,161.71","7,186.71","7,079.71","733.57M","0.32%"
"2019년 05월 31일","7,161.71","7,218.16","7,218.16","7,130.85","870.74M","-0.78%"
"2019년 05월 30일","7,218.16","7,185.30","7,236.68","7,180.57","658.19M","0.46%"
"2019년 05월 29일","7,185.30","7,268.95","7,268.95","7,151.37","673.07M","-1.15%"
"2019년 05월 28일","7,268.95","7,277.73","7,314.85","7,262.80","1.19B","-0.12%"
"2019년 05월 24일","7,277.73","7,231.04","7,303.04","7,231.01","653.15M","0.65%"
"2019년 05월 23일","7,231.04","7,334.19","7,334.19","7,211.33","819.67M","-1.41%"
"2019년 05월 22일","7,334.19","7,328.92","7,373.27","7,313.55","825.72M","0.07%"
"2019년 05월 21일","7,328.92","7,310.88","7,370.02","7,310.88","772.50M","0.25%"
"2019년 05월 20일","7,310.88","7,348.62","7,360.34","7,268.63","755.12M","-0.51%"
"2019년 05월 17일","7,348.62","7,353.51","7,354.22","7,307.33","763.92M","-0.07%"
"2019년 05월 16일","7,353.51","7,296.95","7,353.51","7,265.77","676.26M","0.78%"
"2019년 05월 15일","7,296.95","7,241.60","7,303.73","7,223.08","834.95M","0.76%"
"2019년 05월 14일","7,241.60","7,163.68","7,241.60","7,163.68","743.86M","1.09%"
"2019년 05월 13일","7,163.68","7,203.29","7,217.12","7,150.89","797.46M","-0.55%"
"2019년 05월 10일","7,203.29","7,207.41","7,268.17","7,189.88","637.29M","-0.06%"
"2019년 05월 09일","7,207.41","7,271.00","7,271.00","7,192.18","880.88M","-0.87%"
"2019년 05월 08일","7,271.00","7,260.47","7,278.26","7,222.88","834.24M","0.15%"
"2019년 05월 07일","7,260.47","7,380.64","7,380.64","7,251.03","907.82M","-1.63%"
"2019년 05월 03일","7,380.64","7,351.31","7,418.17","7,350.01","476.58M","0.40%"
"2019년 05월 02일","7,351.31","7,385.26","7,393.94","7,339.45","637.48M","-0.46%"
"2019년 05월 01일","7,385.26","7,418.22","7,446.46","7,379.65","347.13M","-0.44%"
"2019년 04월 30일","7,418.22","7,440.66","7,451.32","7,394.07","774.32M","-0.30%"
"2019년 04월 29일","7,440.66","7,428.19","7,456.49","7,406.53","506.41M","0.17%"
"2019년 04월 26일","7,428.19","7,434.13","7,442.21","7,398.57","865.75M","-0.08%"
"2019년 04월 25일","7,434.13","7,471.75","7,473.32","7,405.99","695.23M","-0.50%"
"2019년 04월 24일","7,471.75","7,523.07","7,523.79","7,456.74","703.75M","-0.68%"
"2019년 04월 23일","7,523.07","7,459.88","7,528.93","7,459.88","795.96M","0.85%"
"2019년 04월 18일","7,459.88","7,471.32","7,475.91","7,437.87","536.60M","-0.15%"
"2019년 04월 17일","7,471.32","7,469.92","7,478.95","7,445.12","665.16M","0.02%"
"2019년 04월 16일","7,469.92","7,436.87","7,485.93","7,436.87","642.95M","0.44%"
"2019년 04월 15일","7,436.87","7,437.06","7,447.08","7,420.27","527.42M","-0.00%"
"2019년 04월 12일","7,437.06","7,417.95","7,454.78","7,415.00","718.44M","0.26%"
"2019년 04월 11일","7,417.95","7,421.91","7,441.89","7,383.47","649.07M","-0.05%"
"2019년 04월 10일","7,421.91","7,425.57","7,441.36","7,409.39","587.36M","-0.05%"
"2019년 04월 09일","7,425.57","7,451.89","7,477.62","7,413.27","672.46M","-0.35%"
"2019년 04월 08일","7,451.89","7,446.87","7,459.93","7,420.41","588.84M","0.07%"
