Date,Rate
2019-06-17,1184
2019-06-18,1186.3
2019-06-19,1185
2019-06-20,1177
2019-06-21,1167.7
2019-06-24,1162
2019-06-25,1157.9
2019-06-26,1154.7
2019-06-27,1158.2
2019-06-28,1156.8
2019-07-01,1156.4
2019-07-02,1155.4
2019-07-03,1164.8
2019-07-04,1170.4
2019-07-05,1169.2
2019-07-08,1170.4
2019-07-09,1178.5
2019-07-10,1179.9
2019-07-11,1181.4
2019-07-12,1173.8
2019-07-15,1177.3
2019-07-16,1179.2
2019-07-17,1178.5
2019-07-18,1180.4
2019-07-19,1179.5
2019-07-22,1173.4
2019-07-23,1177.6
2019-07-24,1178.4
2019-07-25,1178.2
2019-07-26,1179.8
2019-07-29,1184.2
2019-07-30,1183.4
2019-07-31,1182
