"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 02월 02일","91.78","93.64","93.97","91.50","47.87M","-2.63%"
"2018년 02월 01일","94.26","94.79","96.07","93.58","47.23M","-0.79%"
"2018년 01월 31일","95.01","93.75","95.40","93.51","48.76M","2.45%"
"2018년 01월 30일","92.74","93.30","93.66","92.10","38.64M","-1.26%"
"2018년 01월 29일","93.92","95.14","95.45","93.72","31.57M","-0.15%"
"2018년 01월 26일","94.06","93.12","94.06","92.58","29.17M","1.87%"
"2018년 01월 25일","92.33","92.47","93.24","91.93","26.38M","0.56%"
"2018년 01월 24일","91.82","92.55","93.43","91.58","33.28M","-0.09%"
"2018년 01월 23일","91.90","91.90","92.30","91.54","23.41M","0.32%"
"2018년 01월 22일","91.61","90.00","91.62","89.74","23.60M","1.79%"
"2018년 01월 19일","90.00","90.14","90.61","89.66","36.88M","-0.11%"
"2018년 01월 18일","90.10","89.80","90.67","89.66","24.16M","-0.04%"
"2018년 01월 17일","90.14","89.08","90.28","88.75","25.62M","2.03%"
"2018년 01월 16일","88.35","90.10","90.79","88.01","36.60M","-1.40%"
"2018년 01월 12일","89.60","88.67","89.78","88.45","24.27M","1.73%"
"2018년 01월 11일","88.08","88.13","88.13","87.24","17.81M","0.30%"
"2018년 01월 10일","87.82","87.86","88.19","87.41","18.65M","-0.45%"
"2018년 01월 09일","88.22","88.65","88.73","87.86","19.48M","-0.07%"
"2018년 01월 08일","88.28","88.20","88.58","87.60","22.11M","0.10%"
"2018년 01월 05일","88.19","87.66","88.41","87.43","23.41M","1.24%"
"2018년 01월 04일","87.11","86.59","87.66","86.57","21.91M","0.88%"
"2018년 01월 03일","86.35","86.06","86.51","85.97","26.06M","0.47%"
"2018년 01월 02일","85.95","86.12","86.31","85.50","22.48M","0.48%"
