"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 09월 08일","6.6555","6.6389","6.7744","6.5733","19.91M","0.25%"
"2019년 09월 07일","6.6388","6.6672","6.7982","6.3175","29.69M","-0.43%"
"2019년 09월 06일","6.6676","7.0402","7.0758","6.6648","24.82M","-5.29%"
"2019년 09월 05일","7.0403","6.7642","7.2049","6.7069","30.31M","4.08%"
"2019년 09월 04일","6.7643","6.7989","6.8552","6.6672","20.23M","-0.51%"
"2019년 09월 03일","6.7987","6.6847","7.0005","6.6182","27.59M","1.69%"
"2019년 09월 02일","6.6856","6.2423","6.8665","6.1890","30.57M","7.10%"
"2019년 09월 01일","6.2424","6.2635","6.3207","6.0840","18.71M","-0.34%"
"2019년 08월 31일","6.2635","6.2957","6.4355","6.1545","23.00M","-0.49%"
"2019년 08월 30일","6.2946","5.9435","6.4494","5.7389","32.49M","5.96%"
"2019년 08월 29일","5.9404","6.4683","6.4722","5.6935","35.26M","-8.16%"
"2019년 08월 28일","6.4683","7.2064","7.2458","6.2717","36.49M","-10.24%"
"2019년 08월 27일","7.2063","7.3431","7.3439","7.1160","18.60M","-1.86%"
"2019년 08월 26일","7.3431","7.1350","7.5149","7.1266","35.37M","2.89%"
"2019년 08월 25일","7.1372","6.8523","7.3656","6.8326","33.03M","4.16%"
"2019년 08월 24일","6.8519","7.1432","7.2162","6.7617","33.58M","-4.03%"
"2019년 08월 23일","7.1397","7.2176","7.5399","6.8658","52.11M","-1.07%"
"2019년 08월 22일","7.2170","6.1553","7.6696","5.9955","85.24M","17.27%"
"2019년 08월 21일","6.1541","6.0307","6.3779","5.8782","46.64M","2.07%"
"2019년 08월 20일","6.0292","5.5441","6.1656","5.4744","40.79M","8.75%"
"2019년 08월 19일","5.5441","5.5726","5.6641","5.4314","19.94M","-0.52%"
"2019년 08월 18일","5.5728","5.4572","5.6535","5.4275","18.79M","2.13%"
"2019년 08월 17일","5.4567","5.5242","5.5369","5.4014","18.59M","-1.23%"
"2019년 08월 16일","5.5247","5.6478","5.6493","5.4481","22.12M","-2.19%"
"2019년 08월 15일","5.6482","5.5998","5.7764","5.3298","31.20M","0.86%"
"2019년 08월 14일","5.6002","5.9209","6.1642","5.4875","35.42M","-5.40%"
"2019년 08월 13일","5.9202","5.7928","5.9529","5.7511","22.15M","2.20%"
"2019년 08월 12일","5.7930","5.8340","5.8931","5.7263","18.36M","-0.78%"
"2019년 08월 11일","5.8386","5.6566","5.8787","5.6550","21.99M","3.21%"
"2019년 08월 10일","5.6568","5.8125","5.8956","5.5437","25.02M","-2.67%"
"2019년 08월 09일","5.8121","6.0083","6.0298","5.7545","20.60M","-3.27%"
"2019년 08월 08일","6.0086","5.9099","6.1870","5.8810","21.25M","1.68%"
"2019년 08월 07일","5.9095","5.8737","6.5698","5.8435","19.66M","0.60%"
"2019년 08월 06일","5.8741","6.1726","6.2492","5.8108","21.45M","-4.83%"
"2019년 08월 05일","6.1724","6.0938","6.3404","6.0925","21.28M","1.29%"
"2019년 08월 04일","6.0938","5.8812","6.1369","5.8272","15.94M","3.61%"
"2019년 08월 03일","5.8816","5.8805","5.9459","5.8286","13.33M","0.03%"
"2019년 08월 02일","5.8796","5.9516","5.9930","5.8071","13.69M","-1.23%"
"2019년 08월 01일","5.9527","6.0491","6.0659","5.8319","15.08M","-1.59%"
"2019년 07월 31일","6.0491","5.9252","6.0751","5.8024","14.42M","2.08%"
"2019년 07월 30일","5.9256","5.9335","5.9831","5.8163","12.70M","-0.13%"
"2019년 07월 29일","5.9334","5.8991","6.0858","5.8476","16.94M","0.62%"
"2019년 07월 28일","5.8969","5.9392","6.0169","5.5852","18.42M","-0.68%"
"2019년 07월 27일","5.9372","6.1987","6.3052","5.7886","20.42M","-4.22%"
"2019년 07월 26일","6.1985","6.0052","6.2423","5.8914","16.21M","3.22%"
"2019년 07월 25일","6.0052","6.0902","6.2292","5.9765","19.31M","-1.40%"
"2019년 07월 24일","6.0902","6.0360","6.2402","5.7738","23.25M","0.90%"
"2019년 07월 23일","6.0360","6.3699","6.3716","5.9506","21.34M","-5.24%"
"2019년 07월 22일","6.3699","6.2567","6.4792","6.2274","25.00M","1.83%"
"2019년 07월 21일","6.2555","6.1537","6.2875","6.0371","19.11M","1.65%"
"2019년 07월 20일","6.1539","5.8454","6.3009","5.8379","22.25M","5.27%"
"2019년 07월 19일","5.8456","6.0324","6.0324","5.6504","23.09M","-3.09%"
"2019년 07월 18일","6.0321","5.6977","6.0831","5.4146","28.10M","5.87%"
"2019년 07월 17일","5.6977","5.3304","5.9351","5.2240","30.86M","6.90%"
"2019년 07월 16일","5.3299","5.7708","6.0684","5.1333","38.82M","-7.61%"
"2019년 07월 15일","5.7686","5.6457","5.8601","5.1330","38.52M","2.32%"
"2019년 07월 14일","5.6381","6.6069","6.6311","5.5551","31.83M","-14.66%"
"2019년 07월 13일","6.6067","6.7685","6.7773","6.4032","18.27M","-2.39%"
"2019년 07월 12일","6.7685","6.6257","6.8273","6.5154","18.31M","2.16%"
"2019년 07월 11일","6.6255","7.2723","7.2744","6.1963","24.20M","-8.89%"
"2019년 07월 10일","7.2723","7.8826","7.9215","6.9420","23.47M","-7.74%"
"2019년 07월 09일","7.8824","8.0071","8.1149","7.7649","20.17M","-1.58%"
"2019년 07월 08일","8.0090","7.9575","8.0101","7.8758","23.47M","0.63%"
"2019년 07월 07일","7.9588","7.8385","7.9645","7.7636","20.64M","1.53%"
"2019년 07월 06일","7.8385","7.8431","7.9849","7.7510","20.13M","-0.07%"
"2019년 07월 05일","7.8440","7.7478","7.9188","7.6290","19.42M","1.24%"
"2019년 07월 04일","7.7478","7.8533","8.1466","7.7005","22.28M","-1.34%"
"2019년 07월 03일","7.8533","7.7091","7.9127","7.6370","20.97M","1.87%"
"2019년 07월 02일","7.7091","7.7999","7.8885","7.3326","24.72M","-1.16%"
"2019년 07월 01일","7.7998","7.7701","8.0168","7.3289","27.50M","0.43%"
"2019년 06월 30일","7.7663","8.2801","8.6480","7.7401","29.55M","-6.21%"
"2019년 06월 29일","8.2809","8.0343","8.3238","7.6353","25.55M","3.05%"
"2019년 06월 28일","8.0360","7.7706","8.0889","7.6604","31.37M","3.40%"
"2019년 06월 27일","7.7719","9.0922","9.1940","7.2200","51.17M","-14.52%"
"2019년 06월 26일","9.0923","9.2460","9.7178","8.7943","37.47M","-1.67%"
"2019년 06월 25일","9.2470","9.2956","9.3355","8.9849","25.61M","-0.52%"
"2019년 06월 24일","9.2955","9.2985","9.4220","8.9509","24.11M","-0.05%"
"2019년 06월 23일","9.2998","9.1684","9.5860","9.0892","33.26M","1.44%"
"2019년 06월 22일","9.1682","8.7015","9.2259","8.6522","39.36M","5.36%"
"2019년 06월 21일","8.7016","8.5004","8.7626","8.3794","28.33M","2.37%"
"2019년 06월 20일","8.5003","8.5258","8.5692","8.1979","20.13M","-0.30%"
"2019년 06월 19일","8.5257","8.4154","8.6619","8.4075","20.10M","1.30%"
"2019년 06월 18일","8.4161","8.7741","8.7945","8.3158","25.26M","-4.08%"
"2019년 06월 17일","8.7738","8.6960","8.8464","8.6385","22.52M","0.89%"
"2019년 06월 16일","8.6960","8.5796","8.8660","8.4775","31.08M","1.36%"
"2019년 06월 15일","8.5793","8.5097","8.6436","8.1231","24.08M","0.81%"
"2019년 06월 14일","8.5104","8.5161","8.5501","8.1377","24.38M","-0.07%"
"2019년 06월 13일","8.5161","8.5909","8.6803","8.4446","26.82M","-0.88%"
"2019년 06월 12일","8.5918","8.2321","8.7461","8.1091","27.02M","4.37%"
"2019년 06월 11일","8.2319","8.2828","8.2992","7.8010","21.41M","-0.63%"
"2019년 06월 10일","8.2843","8.1024","8.3313","7.8872","29.63M","2.24%"
"2019년 06월 09일","8.1025","8.3945","8.4854","7.6435","31.46M","-3.47%"
"2019년 06월 08일","8.3942","8.2079","8.7575","8.0158","37.65M","2.28%"
"2019년 06월 07일","8.2073","7.9467","8.3350","7.7978","33.11M","3.27%"
"2019년 06월 06일","7.9472","8.1013","8.1714","7.3446","31.22M","-1.90%"
"2019년 06월 05일","8.1014","8.2441","8.3676","7.7927","36.54M","-1.77%"
"2019년 06월 04일","8.2474","9.3646","9.3646","7.6515","49.39M","-11.99%"
"2019년 06월 03일","9.3709","9.5271","9.8385","9.0413","43.74M","-1.64%"
"2019년 06월 02일","9.5273","8.5807","9.5920","8.5654","32.42M","11.01%"
"2019년 06월 01일","8.5824","8.6534","8.8683","8.4471","28.43M","-0.82%"
"2019년 05월 31일","8.6534","8.0929","8.7237","7.9093","30.57M","6.90%"
"2019년 05월 30일","8.0951","8.1871","8.8623","7.8276","40.48M","-1.11%"
"2019년 05월 29일","8.1864","8.2440","8.3995","7.6736","30.98M","-0.70%"
"2019년 05월 28일","8.2445","8.1494","8.4423","8.0249","34.70M","1.15%"
"2019년 05월 27일","8.1504","7.5952","8.3226","7.5457","33.11M","7.30%"
"2019년 05월 26일","7.5959","7.2728","7.7086","7.0790","25.56M","4.44%"
"2019년 05월 25일","7.2728","7.2857","7.3450","7.1591","20.08M","-0.18%"
"2019년 05월 24일","7.2856","7.0453","7.3972","6.9474","27.74M","3.40%"
"2019년 05월 23일","7.0459","6.9106","7.0892","6.6684","26.25M","1.94%"
"2019년 05월 22일","6.9117","7.3943","7.4809","6.8304","25.37M","-6.54%"
"2019년 05월 21일","7.3950","7.3686","7.6109","7.2163","22.51M","0.36%"
"2019년 05월 20일","7.3688","7.7692","7.7692","7.1297","29.00M","-5.15%"
"2019년 05월 19일","7.7690","7.1611","7.8770","7.1487","28.01M","8.49%"
"2019년 05월 18일","7.1610","7.2603","7.4336","7.0662","27.76M","-1.37%"
"2019년 05월 17일","7.2603","7.6489","7.7994","6.8431","39.54M","-5.08%"
"2019년 05월 16일","7.6491","7.5713","8.4683","6.9539","55.29M","1.02%"
"2019년 05월 15일","7.5718","6.5713","7.6141","6.5057","40.76M","15.23%"
"2019년 05월 14일","6.5713","6.0669","6.6792","6.0621","36.81M","8.32%"
"2019년 05월 13일","6.0667","5.8365","6.2456","5.7934","31.82M","3.94%"
"2019년 05월 12일","5.8365","6.0416","6.2235","5.7317","38.56M","-3.44%"
"2019년 05월 11일","6.0442","5.6372","6.3570","5.6087","39.09M","7.22%"
"2019년 05월 10일","5.6371","5.5691","5.6912","5.5021","24.86M","1.22%"
"2019년 05월 09일","5.5690","5.7094","5.7854","5.5046","22.32M","-2.46%"
"2019년 05월 08일","5.7094","5.6674","5.7758","5.6139","21.44M","0.79%"
"2019년 05월 07일","5.6645","5.6931","5.9099","5.6272","24.77M","-0.50%"
"2019년 05월 06일","5.6930","5.7298","5.7826","5.5046","24.27M","-0.64%"
"2019년 05월 05일","5.7298","5.8448","5.8743","5.6680","22.09M","-1.98%"
