Date,Rate
2019-11-14,1167.6
2019-11-15,1170.4
2019-11-18,1166.3
2019-11-19,1164.5
2019-11-20,1168.6
2019-11-21,1170.1
2019-11-22,1176.5
2019-11-25,1177.8
2019-11-26,1176.2
2019-11-27,1174.4
2019-11-28,1176
2019-11-29,1179.3
2019-12-02,1180.3
2019-12-03,1180.4
2019-12-04,1186.2
2019-12-05,1193.7
2019-12-06,1190.2
2019-12-09,1189.7
2019-12-10,1189.3
2019-12-11,1192
2019-12-12,1193.3
2019-12-13,1188.6
2019-12-16,1171.7
2019-12-17,1172.9
2019-12-18,1166.7
2019-12-19,1165.3
2019-12-20,1164.5
2019-12-23,1162.6
2019-12-24,1161.7
2019-12-26,1163.7
2019-12-27,1161.2
2019-12-30,1160.9
2019-12-31,1157.8
