"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 10월 29일","212.24","219.19","219.69","206.09","45.94M","-1.88%"
"2018년 10월 26일","216.30","215.90","220.19","212.67","47.26M","-1.59%"
"2018년 10월 25일","219.80","217.71","221.38","216.75","29.86M","2.19%"
"2018년 10월 24일","215.09","222.60","224.23","214.54","40.93M","-3.43%"
"2018년 10월 23일","222.73","215.83","223.25","214.70","38.77M","0.94%"
"2018년 10월 22일","220.65","219.79","223.36","218.94","28.79M","0.61%"
"2018년 10월 19일","219.31","218.06","221.26","217.43","33.08M","1.52%"
"2018년 10월 18일","216.02","217.86","219.74","213.00","32.58M","-2.34%"
"2018년 10월 17일","221.19","222.30","222.64","219.34","22.89M","-0.43%"
"2018년 10월 16일","222.15","218.93","222.99","216.76","29.18M","2.20%"
"2018년 10월 15일","217.36","221.16","221.83","217.27","30.79M","-2.14%"
"2018년 10월 12일","222.11","220.42","222.88","216.84","40.34M","3.57%"
"2018년 10월 11일","214.45","214.52","219.50","212.32","53.12M","-0.88%"
"2018년 10월 10일","216.36","225.46","226.35","216.05","41.99M","-4.63%"
"2018년 10월 09일","226.87","223.64","227.27","222.25","26.89M","1.39%"
"2018년 10월 08일","223.77","222.21","224.80","220.20","29.66M","-0.23%"
"2018년 10월 05일","224.29","227.96","228.41","220.58","33.58M","-1.62%"
"2018년 10월 04일","227.99","230.78","232.35","226.73","32.04M","-1.76%"
"2018년 10월 03일","232.07","230.05","233.47","229.78","28.65M","1.22%"
"2018년 10월 02일","229.28","227.25","230.00","226.63","24.79M","0.89%"
"2018년 10월 01일","227.26","227.95","229.42","226.35","23.60M","0.67%"
"2018년 09월 28일","225.74","224.79","225.84","224.02","22.93M","0.35%"
"2018년 09월 27일","224.95","223.82","226.44","223.54","30.18M","2.06%"
"2018년 09월 26일","220.42","221.00","223.75","219.76","23.98M","-0.80%"
"2018년 09월 25일","222.19","219.75","222.82","219.70","24.55M","0.63%"
"2018년 09월 24일","220.79","216.82","221.26","216.63","27.69M","1.44%"
"2018년 09월 21일","217.66","220.78","221.36","217.29","96.25M","-1.08%"
"2018년 09월 20일","220.03","220.24","222.28","219.15","26.61M","0.76%"
"2018년 09월 19일","218.37","218.50","219.62","215.30","27.12M","0.06%"
"2018년 09월 18일","218.24","217.79","221.85","217.12","31.57M","0.17%"
"2018년 09월 17일","217.88","222.15","222.95","217.27","37.20M","-2.66%"
"2018년 09월 14일","223.84","225.75","226.84","222.52","32.00M","-1.14%"
"2018년 09월 13일","226.41","223.52","228.35","222.57","41.71M","2.42%"
"2018년 09월 12일","221.07","224.94","225.00","219.84","49.28M","-1.24%"
"2018년 09월 11일","223.85","218.01","224.30","216.56","35.75M","2.53%"
"2018년 09월 10일","218.33","220.95","221.85","216.47","39.52M","-1.34%"
"2018년 09월 07일","221.30","221.85","225.37","220.71","37.62M","-0.81%"
"2018년 09월 06일","223.10","226.23","227.35","221.30","34.29M","-1.66%"
"2018년 09월 05일","226.87","228.99","229.67","225.10","33.33M","-0.65%"
"2018년 09월 04일","228.36","228.41","229.18","226.63","27.39M","0.32%"
"2018년 08월 31일","227.63","226.51","228.87","226.00","43.34M","1.16%"
"2018년 08월 30일","225.03","223.25","228.26","222.40","48.79M","0.92%"
"2018년 08월 29일","222.98","220.15","223.49","219.41","27.25M","1.49%"
"2018년 08월 28일","219.70","219.01","220.54","218.92","22.78M","0.81%"
"2018년 08월 27일","217.94","217.15","218.74","216.33","20.53M","0.82%"
"2018년 08월 24일","216.16","216.60","216.90","215.11","18.48M","0.31%"
"2018년 08월 23일","215.49","214.65","217.05","214.60","18.88M","0.20%"
"2018년 08월 22일","215.05","214.10","216.36","213.84","19.02M","0.00%"
"2018년 08월 21일","215.04","216.80","217.19","214.03","26.16M","-0.19%"
"2018년 08월 20일","215.46","218.10","219.18","215.11","30.29M","-0.97%"
"2018년 08월 17일","217.58","213.44","217.95","213.16","35.43M","2.00%"
"2018년 08월 16일","213.32","211.75","213.81","211.47","28.50M","1.46%"
"2018년 08월 15일","210.24","209.22","210.74","208.33","28.81M","0.23%"
"2018년 08월 14일","209.75","210.16","210.56","208.26","20.75M","0.42%"
"2018년 08월 13일","208.87","207.70","210.95","207.70","25.89M","0.65%"
"2018년 08월 10일","207.53","207.36","209.10","206.67","24.61M","-0.65%"
"2018년 08월 09일","208.88","207.28","209.78","207.20","23.49M","0.79%"
"2018년 08월 08일","207.25","206.05","207.81","204.52","22.53M","0.07%"
"2018년 08월 07일","207.11","209.32","209.50","206.76","25.59M","-0.94%"
"2018년 08월 06일","209.07","208.00","209.25","207.07","25.43M","0.52%"
"2018년 08월 03일","207.99","207.03","208.74","205.48","33.45M","0.29%"
"2018년 08월 02일","207.39","200.58","208.38","200.35","62.40M","2.92%"
"2018년 08월 01일","201.50","199.13","201.76","197.31","67.94M","5.89%"
"2018년 07월 31일","190.29","190.30","192.14","189.34","39.37M","0.20%"
"2018년 07월 30일","189.91","191.90","192.20","189.07","21.03M","-0.56%"
