"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 07월 13일","318.87","315.58","319.58","309.25","5.88M","0.68%"
"2018년 07월 12일","316.71","321.43","323.23","312.77","5.72M","-0.71%"
"2018년 07월 11일","318.96","315.80","321.94","315.07","4.88M","-1.09%"
"2018년 07월 10일","322.47","324.56","327.68","319.20","9.47M","1.24%"
"2018년 07월 09일","318.51","311.99","318.52","308.00","7.60M","3.11%"
"2018년 07월 06일","308.90","304.95","312.07","302.00","8.87M","-0.08%"
"2018년 07월 05일","309.16","313.76","314.39","296.22","17.48M","-0.55%"
"2018년 07월 03일","310.86","331.75","332.49","309.69","12.28M","-7.23%"
"2018년 07월 02일","335.07","360.07","364.78","329.85","18.76M","-2.30%"
"2018년 06월 29일","342.95","353.33","353.86","342.41","6.49M","-1.99%"
"2018년 06월 28일","349.93","348.66","357.02","346.11","8.40M","1.58%"
"2018년 06월 27일","344.50","345.00","350.79","339.50","8.33M","0.73%"
"2018년 06월 26일","342.00","336.05","343.55","325.80","7.45M","2.70%"
"2018년 06월 25일","333.01","330.12","338.47","327.50","6.93M","-0.19%"
"2018년 06월 22일","333.63","351.54","352.25","332.00","10.27M","-3.99%"
"2018년 06월 21일","347.51","362.00","366.21","346.27","7.97M","-4.06%"
"2018년 06월 20일","362.22","358.04","364.38","352.00","8.38M","2.74%"
"2018년 06월 19일","352.55","365.16","370.00","346.25","12.76M","-4.93%"
"2018년 06월 18일","370.83","355.40","373.73","354.50","12.07M","3.53%"
"2018년 06월 15일","358.17","353.84","364.67","351.25","10.85M","0.13%"
"2018년 06월 14일","357.72","347.63","358.75","346.60","10.98M","3.75%"
"2018년 06월 13일","344.78","346.71","347.20","339.80","9.47M","0.59%"
"2018년 06월 12일","342.77","344.70","354.97","338.00","22.35M","3.21%"
"2018년 06월 11일","332.10","322.51","334.66","322.50","13.18M","4.55%"
"2018년 06월 08일","317.66","319.00","324.48","317.15","8.21M","0.50%"
"2018년 06월 07일","316.09","316.15","330.00","313.58","14.35M","-1.07%"
"2018년 06월 06일","319.50","300.50","322.17","297.48","18.77M","9.74%"
"2018년 06월 05일","291.13","297.70","297.80","286.74","6.00M","-1.89%"
"2018년 06월 04일","296.74","294.34","299.00","293.55","4.80M","1.69%"
"2018년 06월 01일","291.82","285.86","291.95","283.84","5.42M","2.49%"
"2018년 05월 31일","284.73","287.21","290.37","282.93","5.92M","-2.40%"
"2018년 05월 30일","291.72","283.29","295.00","281.60","7.49M","2.81%"
"2018년 05월 29일","283.76","278.51","286.50","276.15","5.67M","1.76%"
"2018년 05월 25일","278.85","277.63","279.64","275.61","3.88M","0.36%"
"2018년 05월 24일","277.85","278.40","281.11","274.89","4.18M","-0.44%"
"2018년 05월 23일","279.07","277.76","279.91","274.00","5.99M","1.48%"
"2018년 05월 22일","275.01","287.76","288.00","273.42","8.95M","-3.33%"
"2018년 05월 21일","284.49","281.33","291.49","281.30","9.18M","2.77%"
"2018년 05월 18일","276.82","284.65","284.65","274.00","7.25M","-2.71%"
"2018년 05월 17일","284.54","285.90","289.19","283.97","4.42M","-0.68%"
"2018년 05월 16일","286.48","283.83","288.81","281.56","5.67M","0.81%"
"2018년 05월 15일","284.18","285.01","286.96","280.50","9.52M","-2.67%"
"2018년 05월 14일","291.97","303.32","304.94","291.62","7.29M","-3.02%"
"2018년 05월 11일","301.06","307.70","308.88","299.08","4.68M","-1.30%"
"2018년 05월 10일","305.02","307.50","312.99","304.11","5.65M","-0.60%"
"2018년 05월 09일","306.85","300.41","307.01","300.05","5.73M","1.62%"
"2018년 05월 08일","301.97","300.80","307.75","299.00","5.93M","-0.26%"
"2018년 05월 07일","302.77","297.50","305.96","295.17","8.68M","2.95%"
"2018년 05월 04일","294.09","283.00","296.86","279.52","8.57M","3.39%"
"2018년 05월 03일","284.45","278.79","288.04","275.23","17.35M","-5.55%"
"2018년 05월 02일","301.15","298.57","306.85","297.78","8.97M","0.41%"
"2018년 05월 01일","299.92","293.51","300.82","293.22","4.63M","2.05%"
"2018년 04월 30일","293.90","293.61","298.73","292.50","4.23M","-0.06%"
"2018년 04월 27일","294.07","285.37","294.47","283.83","4.36M","3.01%"
"2018년 04월 26일","285.48","278.75","285.79","276.50","4.36M","1.71%"
"2018년 04월 25일","280.69","283.50","285.16","277.25","4.01M","-0.98%"
"2018년 04월 24일","283.46","285.00","287.09","278.46","5.69M","0.03%"
"2018년 04월 23일","283.37","291.29","291.62","282.33","4.89M","-2.37%"
"2018년 04월 20일","290.24","295.17","299.98","289.75","5.63M","-3.28%"
"2018년 04월 19일","300.08","291.08","301.01","288.55","6.09M","2.29%"
"2018년 04월 18일","293.35","291.08","300.24","288.16","6.56M","1.97%"
"2018년 04월 17일","287.69","288.87","292.17","282.51","7.00M","-1.21%"
"2018년 04월 16일","291.21","299.00","299.66","289.01","6.34M","-3.04%"
"2018년 04월 13일","300.34","303.60","303.95","295.98","7.33M","2.13%"
"2018년 04월 12일","294.08","302.32","303.95","293.68","7.61M","-2.28%"
"2018년 04월 11일","300.93","300.74","308.98","299.66","7.48M","-1.24%"
"2018년 04월 10일","304.70","298.97","307.10","293.68","11.02M","5.19%"
"2018년 04월 09일","289.66","300.37","309.50","289.21","10.25M","-3.22%"
"2018년 04월 06일","299.30","301.00","309.28","295.50","13.52M","-2.10%"
"2018년 04월 05일","305.72","289.34","306.26","288.20","19.12M","6.54%"
"2018년 04월 04일","286.94","252.78","288.37","252.00","19.90M","7.26%"
"2018년 04월 03일","267.53","269.82","273.35","254.49","18.84M","5.96%"
"2018년 04월 02일","252.48","256.26","260.33","244.59","16.11M","-5.13%"
"2018년 03월 29일","266.13","256.49","270.96","248.21","15.17M","3.24%"
"2018년 03월 28일","257.78","264.58","268.68","252.10","21.00M","-7.67%"
"2018년 03월 27일","279.18","304.00","304.27","277.18","13.87M","-8.22%"
"2018년 03월 26일","304.18","307.34","307.59","291.36","8.38M","0.88%"
"2018년 03월 23일","301.54","311.25","311.61","300.45","6.65M","-2.45%"
"2018년 03월 22일","309.10","313.89","318.82","308.18","4.94M","-2.35%"
"2018년 03월 21일","316.53","310.25","322.44","310.19","5.96M","1.93%"
"2018년 03월 20일","310.55","314.87","316.25","308.76","4.76M","-0.96%"
"2018년 03월 19일","313.56","316.50","320.75","309.67","7.48M","-2.42%"
"2018년 03월 16일","321.35","325.96","327.40","319.07","6.12M","-1.31%"
"2018년 03월 15일","325.60","329.38","332.85","321.10","6.56M","-0.32%"
"2018년 03월 14일","326.63","336.76","339.81","323.93","7.97M","-4.45%"
"2018년 03월 13일","341.84","344.92","345.12","336.26","5.97M","-1.06%"
"2018년 03월 12일","345.51","328.61","347.21","326.50","8.26M","5.61%"
"2018년 03월 09일","327.17","324.10","328.49","322.37","5.51M","-0.59%"
"2018년 03월 08일","329.10","332.86","333.30","326.27","3.57M","-0.96%"
"2018년 03월 07일","332.30","325.44","332.50","321.74","5.01M","1.25%"
"2018년 03월 06일","328.20","333.75","336.37","327.03","4.29M","-1.54%"
"2018년 03월 05일","333.35","332.39","337.75","329.29","3.82M","-0.53%"
"2018년 03월 02일","335.12","326.98","335.22","322.97","5.09M","1.27%"
"2018년 03월 01일","330.93","345.01","348.67","330.07","6.89M","-3.54%"
"2018년 02월 28일","343.06","352.57","355.24","342.22","6.07M","-2.26%"
"2018년 02월 27일","350.99","356.25","359.99","350.01","4.80M","-1.80%"
"2018년 02월 26일","357.42","353.50","359.00","352.36","4.34M","1.53%"
"2018년 02월 23일","352.05","347.83","354.99","347.10","5.82M","1.70%"
"2018년 02월 22일","346.17","335.53","347.44","334.75","6.97M","3.86%"
"2018년 02월 21일","333.30","336.03","339.69","333.17","3.22M","-0.44%"
"2018년 02월 20일","334.77","334.47","340.84","331.50","4.01M","-0.21%"
"2018년 02월 16일","335.49","332.50","343.12","331.64","5.64M","0.43%"
"2018년 02월 15일","334.06","324.50","334.12","322.40","5.91M","3.65%"
"2018년 02월 14일","322.31","320.84","326.17","318.52","3.95M","-0.42%"
"2018년 02월 13일","323.66","315.02","324.19","312.51","4.56M","2.51%"
"2018년 02월 12일","315.73","316.13","318.08","306.25","6.23M","1.71%"
"2018년 02월 09일","310.42","319.93","320.98","294.76","12.93M","-1.53%"
"2018년 02월 08일","315.23","343.31","348.62","314.60","10.31M","-8.63%"
"2018년 02월 07일","345.00","338.99","346.00","335.66","6.97M","3.30%"
"2018년 02월 06일","333.97","325.21","336.22","323.50","5.09M","0.25%"
"2018년 02월 05일","333.13","337.97","344.47","333.00","4.46M","-3.09%"
"2018년 02월 02일","343.75","348.44","351.95","340.51","3.70M","-1.57%"
"2018년 02월 01일","349.25","351.00","359.66","348.63","4.20M","-1.43%"
"2018년 01월 31일","354.31","347.51","356.19","345.19","6.21M","2.46%"
"2018년 01월 30일","345.82","345.14","348.27","342.17","4.72M","-1.06%"
"2018년 01월 29일","349.53","339.85","350.85","338.28","4.75M","1.95%"
"2018년 01월 26일","342.85","341.50","344.00","335.71","4.54M","1.54%"
"2018년 01월 25일","337.64","348.27","349.20","336.40","6.74M","-2.39%"
"2018년 01월 24일","345.89","354.58","354.75","343.52","5.29M","-1.96%"
"2018년 01월 23일","352.79","360.00","360.50","351.00","5.47M","0.35%"
"2018년 01월 22일","351.56","349.40","357.83","349.20","6.21M","0.44%"
"2018년 01월 19일","350.02","345.00","350.59","342.60","4.89M","1.58%"
"2018년 01월 18일","344.57","345.67","352.30","343.74","5.69M","-0.75%"
"2018년 01월 17일","347.16","340.47","349.00","339.75","7.10M","2.09%"
"2018년 01월 16일","340.06","337.54","345.00","334.80","6.47M","1.14%"
"2018년 01월 12일","336.22","338.63","340.41","333.67","4.83M","-0.51%"
"2018년 01월 11일","337.95","335.24","344.81","333.26","6.65M","0.94%"
"2018년 01월 10일","334.80","332.20","337.00","330.00","4.31M","0.33%"
"2018년 01월 09일","333.69","335.16","338.80","327.40","7.15M","-0.81%"
"2018년 01월 08일","336.41","316.00","337.02","315.50","9.86M","6.26%"
"2018년 01월 05일","316.58","316.62","317.24","312.00","4.59M","0.62%"
"2018년 01월 04일","314.62","312.87","318.55","305.68","9.95M","-0.83%"
"2018년 01월 03일","317.25","321.00","325.25","315.55","4.52M","-1.02%"
"2018년 01월 02일","320.53","312.00","322.11","311.00","4.35M","2.95%"
