"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 04월 01일","45,050","45,200","45,450","44,850","6.79M","0.90%"
"2019년 03월 29일","44,650","44,500","44,900","44,200","11.00M","-0.45%"
"2019년 03월 28일","44,850","44,950","45,200","44,300","6.81M","-1.10%"
"2019년 03월 27일","45,350","44,750","45,600","44,250","9.32M","0.22%"
"2019년 03월 26일","45,250","45,500","45,700","44,900","9.65M","-0.55%"
"2019년 03월 25일","45,500","45,300","45,650","44,800","8.68M","-2.26%"
"2019년 03월 22일","46,550","46,850","47,000","46,250","12.49M","1.53%"
"2019년 03월 21일","45,850","44,600","46,250","44,050","21.03M","4.09%"
"2019년 03월 20일","44,050","43,800","44,200","43,100","9.83M","0.34%"
"2019년 03월 19일","43,900","43,750","43,900","43,550","7.60M","0.46%"
"2019년 03월 18일","43,700","43,950","44,150","43,450","8.16M","-1.13%"
"2019년 03월 15일","44,200","43,800","44,250","43,700","14.61M","0.80%"
"2019년 03월 14일","43,850","43,700","44,300","43,550","18.02M","0.00%"
"2019년 03월 13일","43,850","44,250","44,450","43,700","8.10M","-1.79%"
"2019년 03월 12일","44,650","44,300","44,950","44,150","10.83M","2.29%"
"2019년 03월 11일","43,650","44,400","44,450","43,650","8.51M","-0.34%"
"2019년 03월 08일","43,800","44,450","44,800","43,800","7.70M","-1.46%"
"2019년 03월 07일","44,450","43,400","44,950","43,400","10.99M","1.02%"
"2019년 03월 06일","44,000","44,000","44,300","43,700","9.95M","-0.56%"
"2019년 03월 05일","44,250","44,600","45,100","44,150","10.50M","-1.34%"
"2019년 03월 04일","44,850","46,000","46,100","44,800","12.67M","-0.55%"
"2019년 02월 28일","45,100","46,400","46,500","45,100","23.50M","-3.53%"
"2019년 02월 27일","46,750","47,000","47,250","46,750","7.69M","0.00%"
"2019년 02월 26일","46,750","47,350","47,450","46,500","7.98M","-1.27%"
"2019년 02월 25일","47,350","47,400","47,550","47,050","7.46M","0.42%"
"2019년 02월 22일","47,150","46,500","47,150","46,450","6.67M","0.43%"
"2019년 02월 21일","46,950","46,500","47,200","46,200","8.45M","0.11%"
"2019년 02월 20일","46,900","46,750","47,100","46,500","11.22M","2.07%"
"2019년 02월 19일","45,950","45,850","46,150","45,450","6.73M","-0.54%"
"2019년 02월 18일","46,200","46,500","46,850","45,850","8.17M","0.33%"
"2019년 02월 15일","46,050","46,750","46,850","45,650","10.54M","-3.05%"
"2019년 02월 14일","47,500","46,600","47,500","46,150","17.12M","2.81%"
"2019년 02월 13일","46,200","46,400","46,700","46,000","11.29M","0.33%"
"2019년 02월 12일","46,050","44,650","46,250","44,650","12.99M","2.33%"
"2019년 02월 11일","45,000","44,500","45,000","44,250","10.23M","0.45%"
"2019년 02월 08일","44,800","45,700","45,700","44,650","12.49M","-3.03%"
"2019년 02월 07일","46,200","46,800","47,100","46,200","15.64M","-0.32%"
"2019년 02월 01일","46,350","46,650","46,950","46,250","13.63M","0.43%"
"2019년 01월 31일","46,150","46,650","47,050","46,150","21.47M","-0.54%"
"2019년 01월 30일","46,400","44,800","46,400","44,800","17.06M","1.98%"
"2019년 01월 29일","45,500","45,050","45,500","44,350","15.05M","1.00%"
"2019년 01월 28일","45,050","45,000","45,500","44,600","17.60M","0.67%"
"2019년 01월 25일","44,750","44,300","44,750","43,750","21.94M","3.95%"
"2019년 01월 24일","43,050","43,050","43,100","42,350","14.17M","2.50%"
"2019년 01월 23일","42,000","41,350","42,250","41,350","10.38M","-0.36%"
"2019년 01월 22일","42,150","42,750","42,850","41,850","9.91M","-1.40%"
"2019년 01월 21일","42,750","42,700","42,750","41,900","11.34M","1.06%"
"2019년 01월 18일","42,300","42,000","42,400","41,950","9.73M","0.83%"
"2019년 01월 17일","41,950","41,700","42,100","41,450","11.57M","1.21%"
"2019년 01월 16일","41,450","41,150","41,450","40,700","8.48M","0.85%"
"2019년 01월 15일","41,100","40,050","41,100","39,850","11.22M","2.62%"
"2019년 01월 14일","40,050","40,450","40,700","39,850","11.98M","-1.11%"
"2019년 01월 11일","40,500","40,350","40,550","39,950","11.23M","1.76%"
"2019년 01월 10일","39,800","40,000","40,150","39,600","14.33M","0.51%"
"2019년 01월 09일","39,600","38,650","39,600","38,300","16.96M","3.94%"
"2019년 01월 08일","38,100","38,000","39,200","37,950","12.64M","-1.68%"
"2019년 01월 07일","38,750","38,000","38,900","37,800","11.94M","3.47%"
"2019년 01월 04일","37,450","37,450","37,600","36,850","13.30M","-0.40%"
"2019년 01월 03일","37,600","38,300","38,550","37,450","12.44M","-2.97%"
"2019년 01월 02일","38,750","39,400","39,400","38,550","7.79M","0.13%"
"2018년 12월 28일","38,700","38,250","38,900","38,200","9.72M","1.18%"
"2018년 12월 27일","38,250","38,700","38,800","38,100","10.46M","-0.26%"
"2018년 12월 26일","38,350","38,400","38,750","38,300","12.61M","-1.16%"
"2018년 12월 24일","38,800","38,500","39,050","38,300","9.72M","0.39%"
"2018년 12월 21일","38,650","38,200","38,650","38,100","14.04M","0.00%"
"2018년 12월 20일","38,650","38,600","39,100","38,500","10.56M","-1.15%"
"2018년 12월 19일","39,100","38,900","39,350","38,850","9.51M","0.51%"
"2018년 12월 18일","38,900","38,300","39,200","38,300","10.79M","-0.64%"
"2018년 12월 17일","39,150","38,650","39,600","38,650","11.44M","0.51%"
"2018년 12월 14일","38,950","40,200","40,200","38,700","18.81M","-2.63%"
"2018년 12월 13일","40,000","40,650","40,750","40,000","22.70M","-1.11%"
"2018년 12월 12일","40,450","40,250","40,700","40,150","10.61M","0.50%"
"2018년 12월 11일","40,250","40,600","40,700","40,200","10.60M","0.12%"
"2018년 12월 10일","40,200","40,450","40,650","40,000","13.29M","-1.83%"
"2018년 12월 07일","40,950","40,900","41,400","40,850","11.41M","1.11%"
"2018년 12월 06일","40,500","40,600","41,100","40,450","14.06M","-2.29%"
"2018년 12월 05일","41,450","40,900","41,750","40,850","12.03M","-1.66%"
"2018년 12월 04일","42,150","42,650","42,900","41,900","13.97M","-2.54%"
"2018년 12월 03일","43,250","42,750","43,400","42,400","11.62M","3.35%"
"2018년 11월 30일","41,850","43,450","44,000","41,750","19.08M","-3.01%"
"2018년 11월 29일","43,150","43,850","43,850","42,900","8.44M","0.00%"
"2018년 11월 28일","43,150","42,800","43,200","42,750","6.86M","0.23%"
"2018년 11월 27일","43,050","42,900","43,100","42,500","8.15M","1.06%"
"2018년 11월 26일","42,600","42,150","42,800","42,100","5.96M","0.71%"
"2018년 11월 25일","42,300","42,250","42,350","42,250","-","-0.24%"
"2018년 11월 23일","42,400","42,450","42,600","41,900","5.18M","-0.12%"
"2018년 11월 22일","42,450","42,000","42,650","42,000","5.95M","0.83%"
"2018년 11월 21일","42,100","41,800","42,300","41,800","10.68M","-1.64%"
"2018년 11월 20일","42,800","42,450","43,000","42,100","9.32M","-1.95%"
"2018년 11월 19일","43,650","44,050","44,250","43,450","7.50M","-0.34%"
