"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 01월 27일","71.42","73.43","74.85","70.81","143.34K","-2.73%"
"2019년 01월 26일","73.43","74.15","76.31","73.29","128.91K","-0.96%"
"2019년 01월 25일","74.15","74.03","76.74","73.42","148.86K","0.12%"
"2019년 01월 24일","74.06","75.06","76.00","73.62","126.64K","-1.26%"
"2019년 01월 23일","75.00","75.34","76.89","74.46","157.88K","-0.45%"
"2019년 01월 22일","75.34","74.22","76.28","72.09","169.06K","1.46%"
"2019년 01월 21일","74.26","74.25","76.42","73.85","143.93K","0.01%"
"2019년 01월 20일","74.25","77.12","77.14","73.28","141.44K","-2.71%"
"2019년 01월 19일","76.32","74.97","77.19","74.97","152.95K","1.80%"
"2019년 01월 18일","74.97","76.83","77.55","74.38","159.19K","-2.43%"
"2019년 01월 17일","76.83","76.91","77.66","75.20","161.00K","-0.10%"
"2019년 01월 16일","76.91","76.02","78.57","75.58","187.22K","1.17%"
"2019년 01월 15일","76.02","79.02","80.66","75.01","208.23K","-3.79%"
"2019년 01월 14일","79.02","76.35","80.91","75.01","279.80K","3.49%"
"2019년 01월 13일","76.35","81.20","86.35","73.45","458.95K","-5.99%"
"2019년 01월 12일","81.21","73.50","83.92","73.50","499.46K","10.50%"
"2019년 01월 11일","73.50","74.40","75.25","72.38","192.51K","-1.23%"
"2019년 01월 10일","74.41","85.77","88.33","73.59","276.92K","-13.24%"
"2019년 01월 09일","85.77","86.25","86.61","85.45","106.84K","-0.54%"
"2019년 01월 08일","86.24","87.77","88.16","85.69","138.96K","-1.69%"
"2019년 01월 07일","87.72","88.42","88.42","86.61","120.12K","-0.82%"
"2019년 01월 06일","88.44","87.16","89.77","85.70","170.93K","1.47%"
"2019년 01월 05일","87.17","86.25","90.48","85.38","187.67K","1.00%"
"2019년 01월 04일","86.31","87.40","88.82","84.38","220.52K","-1.25%"
"2019년 01월 03일","87.40","92.97","94.09","85.65","244.82K","-5.99%"
"2019년 01월 02일","92.97","90.88","94.18","88.73","271.39K","2.53%"
"2019년 01월 01일","90.67","84.10","94.33","83.66","320.60K","7.90%"
"2018년 12월 31일","84.03","87.24","87.24","83.58","152.90K","-3.64%"
