,AED,AUD,BHD,CAD,CHF,CNH,DKK,EUR,GBP,HKD,IDR(100),JPY(100),KWD,MYR,NOK,NZD,SAR,SEK,SGD,THB,USD,BITCOIN,TETHER,KOSPI200,KOSDAQ,SAMSUNG,S&P500,DOWJONES,NASDAQ,MICROSOFT,APPLE,US_LIBOR,KOR_LIBOR,US_BOND_RATE_1YEARS,US_BOND_RATE_2YEARS,US_BOND_RATE_10YEARS,HYUNDAI_CAR,IEF_US,GLD_US,HSI,NAVER,SK_HYNIX,AMAZON,TESLA,NIKKEI,FTSE,ETHEREUM,ETHEREUM_CLASSIC,EOS,RIPPLE,STELLA
2019-08-02,323.56,808.54,3152.52,899.7,1200.08,171.93,176.36,1316.8,1440.82,151.87,8.42,1106.04,3903.12,286.87,133.58,778.65,316.86,123.06,862.64,862.64,1188.5,10520.1,0.9984099048821744,262.99,615.7,44950.0,2932.05,26485.01,8004.07,136.9,204.02,2.23925,1.49,1.867,1.71,1.8430000000000002,127500.0,39.03,135.89,26918.58,142000.0,76100.0,1823.24,234.34,21087.16,7407.06,216.54,5.8796,4.1811,0.3115,0.08202000000000001
2019-08-05,325.31,811.81,3169.23,905.12,1216.33,171.75,177.76,1327.3,1451.68,152.62,8.43,1121.4,3924.45,287.38,133.98,779.73,318.49,123.96,867.59,867.59,1194.8,11816.8,1.000237464332357,257.19,569.79,43950.0,2844.74,25717.74,7726.04,132.21,193.34,2.209,1.48,1.7990000000000002,1.579,1.7180000000000002,127500.0,38.22,137.79,26151.32,138000.0,75400.0,1765.13,228.32,20720.29,7223.85,232.45,6.1724,4.4581,0.3221,0.08242999999999999
2019-08-06,329.91,820.03,3214.32,917.4,1246.77,171.52,182.36,1361.09,1472.76,154.48,8.5,1146.83,3984.22,290.01,135.89,796.15,323.04,126.48,874.79,874.79,1211.8,11480.9,0.9987584400581229,253.41,551.5,43500.0,2881.77,26029.52,7833.27,134.69,197.0,2.187,1.47,1.825,1.597,1.716,126000.0,38.6,138.91,25976.24,138500.0,72000.0,1787.83,230.75,20585.31,7171.69,225.63,5.8741,4.1904,0.3116,0.07842
2019-08-07,330.59,821.05,3220.95,914.07,1244.67,171.42,182.22,1360.26,1477.5,154.92,8.51,1141.63,3992.44,289.71,136.36,792.63,323.73,126.8,879.19,879.19,1214.3,12013.9,1.0018426900407604,252.0,564.64,43200.0,2883.98,26007.07,7862.83,135.28,199.04,2.1845,1.46,1.7630000000000001,1.6030000000000002,1.7209999999999999,127000.0,39.29,141.02,25997.03,137500.0,73300.0,1793.4,233.42,20516.56,7198.7,224.66,5.9095,4.2249,0.3108,0.07852999999999999
2019-08-08,330.64,822.1,3221.49,912.88,1245.07,171.59,182.33,1360.54,1475.31,154.9,8.54,1143.44,3993.1,289.93,135.7,784.38,323.73,126.08,878.64,878.64,1214.5,12191.6,1.0024029934821428,252.4,585.44,42650.0,2938.09,26378.19,8039.16,138.89,203.43,2.181,1.46,1.791,1.617,1.719,130000.0,39.85,141.73,26120.77,140000.0,72300.0,1832.89,238.3,20593.35,7285.9,220.16,6.0086,4.1699,0.3083,0.07712000000000001
2019-08-09,329.77,823.2,3213.0,915.5,1243.7,171.28,181.59,1355.08,1470.4,154.48,8.53,1144.73,3982.57,289.44,135.65,785.53,322.88,126.21,876.01,876.01,1211.3,12089.8,1.0042514082113034,254.85,590.04,43150.0,2918.65,26287.44,7959.14,137.71,200.99,2.17563,1.46,1.794,1.649,1.745,132500.0,39.37,141.26,25939.3,142500.0,73300.0,1807.58,235.01,20684.82,7253.85,209.49,5.8121,3.9041,0.2965,0.07184
2019-08-13,330.94,820.96,3224.4,918.37,1254.23,171.37,182.67,1363.36,1468.38,154.93,8.53,1154.91,3996.71,290.5,136.33,783.33,324.02,127.14,876.65,876.65,1215.6,10892.9,0.9983334691863212,252.83,590.75,43000.0,2926.32,26279.91,8016.36,138.6,208.97,2.15813,1.46,1.869,1.671,1.702,129000.0,39.61,141.78,25281.3,142500.0,74500.0,1824.34,235.0,20455.44,7250.9,207.68,5.9202,4.0784,0.2978,0.07437
2019-08-14,331.84,828.24,3233.16,922.01,1248.62,171.71,182.49,1361.94,1469.93,155.35,8.51,1142.84,4007.56,290.39,137.41,787.23,324.95,127.75,880.8,880.8,1218.9,10049.4,0.999179455509556,254.86,597.15,43700.0,2840.6,25479.42,7773.94,133.98,202.75,2.16838,1.45,1.785,1.581,1.5830000000000002,127500.0,38.76,142.75,25302.28,139000.0,76900.0,1762.96,219.62,20655.13,7147.88,186.56,5.6002,3.6714,0.2629,0.06978
2019-08-16,329.9,820.74,3214.06,910.06,1240.61,172.31,180.49,1346.32,1464.7,154.51,8.49,1141.55,3983.89,288.95,134.35,780.15,323.05,125.7,872.26,872.26,1211.7,10335.6,1.002600599083709,253.9,591.57,43900.0,2888.68,25886.01,7895.99,136.13,206.5,2.13588,1.45,1.699,1.486,1.5619999999999998,128000.0,39.14,142.78,25734.22,139500.0,76400.0,1792.57,219.94,20418.81,7117.15,184.55,5.5247,3.5794,0.2606,0.06876
2019-08-19,330.34,823.35,3218.3,914.42,1239.26,172.14,180.5,1345.97,1475.01,154.67,8.52,1139.68,3989.15,290.37,134.77,779.91,323.48,125.62,876.12,876.12,1213.3,10910.7,0.999398565984434,255.11,594.65,43600.0,2923.65,26135.79,8002.81,138.41,210.35,2.1515,1.44,1.745,1.5530000000000002,1.608,128000.0,39.7,141.11,26291.84,139000.0,75100.0,1816.12,226.83,20563.16,7189.65,201.64,5.5441,3.7189,0.2817,0.07247
2019-08-20,329.61,819.16,3211.41,908.39,1233.58,171.72,179.93,1341.82,1468.09,154.33,8.51,1135.69,3980.6,289.85,134.79,776.06,322.81,125.0,872.86,872.86,1210.7,10752.6,1.002033458309176,258.05,607.01,44450.0,2900.51,25962.44,7948.56,137.26,210.36,2.1495,1.44,1.735,1.51,1.5519999999999998,126500.0,40.1,142.21,26231.54,145500.0,76400.0,1801.38,225.86,20677.22,7125.0,196.14,6.0292,3.6717,0.274,0.06959
2019-08-21,329.47,819.97,3210.08,908.52,1237.36,171.13,180.15,1343.14,1472.21,154.31,8.49,1138.9,3978.96,289.28,134.63,775.74,322.68,124.93,873.63,873.63,1210.2,10141.5,0.9982869529178504,258.38,615.96,44500.0,2924.43,26202.73,8020.21,138.79,212.64,2.14763,1.44,1.774,1.575,1.591,125500.0,40.66,141.76,26270.04,147500.0,75800.0,1823.54,220.83,20618.57,7203.97,187.24,6.1541,3.5121,0.2658,0.06692000000000001
2019-08-22,327.78,817.22,3193.63,906.42,1225.94,170.24,179.1,1335.36,1460.45,153.49,8.46,1129.4,3958.57,288.21,134.65,771.22,321.03,125.18,870.1,870.1,1204.0,10105.0,1.0020396191519922,256.28,612.25,44050.0,2922.95,26252.24,7991.39,137.78,212.46,2.13225,1.44,1.795,1.6119999999999999,1.6130000000000002,124000.0,40.88,141.4,26048.72,148000.0,73800.0,1805.6,222.15,20628.01,7128.18,190.29,7.217,3.6359,0.2706,0.06844
2019-08-23,328.08,814.23,3196.55,906.16,1225.19,170.23,179.12,1335.43,1476.31,153.71,8.47,1131.92,3962.19,287.65,134.18,767.41,321.33,124.54,869.51,869.51,1205.1,10388.7,1.0021971743846174,256.11,608.98,43950.0,2847.11,25628.9,7751.77,133.39,202.64,2.14438,1.44,1.732,1.531,1.5330000000000001,126000.0,39.84,144.17,26179.33,148500.0,74400.0,1749.62,211.4,20710.91,7094.98,193.43,7.1397,3.6719,0.2766,0.069
2019-08-27,331.65,825.21,3231.3,919.26,1244.2,169.98,181.32,1352.14,1489.01,155.27,8.55,1148.11,4013.44,289.84,135.27,778.37,324.83,125.9,877.44,877.44,1218.2,10184.8,0.9978417011067994,253.5,588.32,44050.0,2869.16,25777.9,7826.95,135.74,204.16,2.11738,1.44,1.7630000000000001,1.524,1.474,125000.0,39.84,145.57,25664.07,146500.0,73000.0,1761.83,214.08,20456.08,7089.58,186.58,7.2063,3.5492,0.2695,0.06856
2019-08-28,330.26,819.21,3217.77,913.17,1236.03,169.2,180.43,1345.51,1490.35,154.59,8.51,1146.87,3996.64,288.56,134.68,771.83,323.47,125.46,873.39,873.39,1213.1,9729.4,0.9992215926113353,255.53,602.9,44150.0,2887.94,26036.1,7856.88,135.56,205.53,2.12413,1.45,1.75,1.5,1.4680000000000002,127500.0,40.2,145.16,25615.48,146500.0,73300.0,1764.25,215.59,20479.42,7114.71,172.85,6.4683,3.2549,0.2565,0.06383
2019-08-29,330.37,817.47,3218.58,911.79,1236.44,169.36,180.41,1345.1,1482.78,154.69,8.51,1144.33,3994.4,288.04,134.21,769.12,323.57,124.83,873.87,873.87,1213.5,9491.0,1.0005723961738644,254.31,599.57,43400.0,2924.58,26362.25,7973.39,138.12,209.01,2.13175,1.45,1.766,1.526,1.496,126500.0,40.7,144.12,25703.5,145000.0,73300.0,1786.4,221.71,20460.93,7184.32,168.66,5.9404,3.1936,0.2568,0.061829999999999996
2019-08-30,330.83,817.71,3223.09,914.41,1231.7,169.48,180.23,1343.83,1480.72,154.88,8.54,1140.66,4000.0,288.13,133.59,767.03,324.03,124.24,875.41,875.41,1215.2,9585.4,0.9995395592938376,259.0,610.55,44000.0,2926.46,26403.28,7962.88,137.86,208.74,2.13763,1.45,1.7730000000000001,1.51,1.499,128500.0,40.76,143.75,25724.73,146500.0,77400.0,1776.29,225.61,20704.37,7207.18,168.16,6.2946,3.2147,0.2554,0.0619
2019-09-03,329.93,813.18,3214.33,909.22,1223.21,169.0,178.22,1328.91,1461.85,154.53,8.54,1141.2,3989.14,288.17,133.03,764.1,323.13,123.28,870.77,870.77,1211.9,10612.3,0.999702164783878,258.25,620.02,43250.0,2906.27,26118.02,7874.16,136.04,205.7,2.12663,1.46,1.739,1.454,1.462,128500.0,40.53,145.75,25527.85,150500.0,77000.0,1789.84,225.01,20625.16,7268.19,178.81,6.7987,3.3496,0.2624,0.0631
2019-09-04,330.83,821.66,3223.09,910.88,1230.89,169.12,178.77,1333.14,1468.99,154.92,8.54,1146.74,4000.0,287.79,133.46,769.59,324.0,123.76,874.02,874.02,1215.2,10568.2,0.998835555974967,261.69,629.31,44100.0,2937.78,26355.47,7976.88,137.63,209.19,2.11238,1.47,1.703,1.436,1.4709999999999999,128500.0,41.14,146.66,26523.23,151000.0,80000.0,1800.62,220.68,20649.14,7311.26,174.79,6.7643,3.3042,0.2583,0.0617
2019-09-05,329.34,822.17,3208.5,914.74,1233.19,168.72,178.98,1335.02,1482.06,154.28,8.55,1137.47,3979.93,287.65,133.97,768.76,322.53,124.23,874.03,874.03,1209.7,10566.9,1.0010655977400178,264.44,632.99,45700.0,2976.0,26728.15,8116.83,140.05,213.28,2.10213,1.48,1.7519999999999998,1.534,1.565,128000.0,41.1,143.14,26515.53,147000.0,83000.0,1840.72,229.58,21085.94,7271.17,173.83,7.0403,3.2674,0.2561,0.060270000000000004
2019-09-06,326.59,817.35,3181.71,906.8,1216.88,168.01,177.45,1323.82,1478.69,153.05,8.48,1120.96,3946.7,286.33,133.14,764.51,319.78,123.86,866.36,866.36,1199.6,10309.3,1.0002142082199377,265.53,631.15,46300.0,2978.71,26797.46,8103.07,139.1,213.26,2.13413,1.48,1.7469999999999999,1.54,1.56,127500.0,41.29,141.92,26690.76,149500.0,81900.0,1833.51,227.45,21199.57,7282.34,169.15,6.6676,3.2142,0.2513,0.05814
2019-09-09,325.87,819.28,3174.55,908.77,1211.25,167.49,176.82,1319.46,1470.63,152.66,8.49,1119.49,3937.82,286.31,133.26,769.13,319.06,124.14,866.6,866.6,1196.9,10309.0,1.0016003515353906,267.4,625.77,46900.0,2978.43,26835.51,8087.44,137.52,214.17,2.1383799999999997,1.49,1.76,1.595,1.6469999999999998,127000.0,41.56,141.39,26681.4,153000.0,84300.0,1831.35,231.79,21318.42,7235.81,180.65,6.5924,3.8753,0.2588,0.06026
2019-09-10,324.63,818.64,3162.61,905.67,1201.96,167.44,176.62,1317.54,1472.08,152.1,8.5,1112.0,3923.01,285.23,133.59,766.59,317.91,123.46,864.15,864.15,1192.4,10105.4,0.9998662287946876,268.76,623.25,47000.0,2979.39,26909.43,8084.15,136.08,216.7,2.13163,1.49,1.814,1.6880000000000002,1.744,128000.0,41.55,140.18,26683.68,150500.0,83100.0,1820.55,235.54,21392.1,7267.95,180.05,6.5346,3.7751,0.2586,0.05968
2019-09-11,324.51,817.64,3161.29,906.56,1202.18,167.58,176.5,1316.75,1472.65,152.03,8.48,1108.59,3921.37,285.72,133.14,765.44,317.73,123.13,863.73,863.73,1191.9,10162.5,1.0011188784072622,270.84,630.37,47150.0,3000.93,27137.04,8169.68,136.12,223.59,2.12725,1.49,1.79,1.676,1.746,129000.0,42.07,141.03,27159.06,153500.0,82600.0,1822.99,247.1,21597.76,7338.03,178.47,6.3296,3.754,0.2553,0.058629999999999995
2019-09-17,322.34,812.93,3140.33,894.33,1192.17,167.56,174.48,1302.93,1471.59,151.44,8.43,1095.13,3895.38,284.31,132.17,751.37,315.64,122.58,860.81,860.81,1184.0,10195.7,0.999479668461494,271.68,644.28,46900.0,3005.7,27110.8,8186.02,137.39,220.7,2.16413,1.49,1.871,1.7309999999999999,1.81,126000.0,42.24,141.6,26790.24,155000.0,79400.0,1822.55,244.79,22001.32,7320.4,207.77,6.2811,4.0633,0.2852,0.06357
2019-09-18,323.51,815.53,3151.57,897.0,1196.8,167.92,176.16,1315.51,1485.43,151.91,8.43,1099.16,3907.85,284.08,133.12,755.88,316.8,122.86,864.88,864.88,1188.3,10164.7,1.000712225223592,273.06,645.12,47700.0,3006.73,27147.08,8177.39,138.52,222.77,2.15588,1.49,1.855,1.764,1.8,127500.0,42.51,140.71,26754.12,159000.0,80200.0,1817.46,243.49,21960.71,7314.05,210.43,6.3731,4.0785,0.3134,0.08276
2019-09-19,324.11,812.69,3157.49,895.45,1194.08,168.08,175.81,1312.82,1485.21,152.05,8.47,1098.15,3916.38,284.54,133.04,752.52,317.38,122.45,865.03,865.03,1190.5,10250.5,0.9988001042444428,274.92,645.71,49150.0,3006.79,27094.79,8182.88,141.07,220.96,2.15888,1.49,1.8780000000000001,1.744,1.787,129000.0,42.48,141.28,26468.95,157500.0,82700.0,1821.5,246.6,22044.45,7356.42,220.21,6.2126,3.9586,0.3002,0.08127999999999999
2019-09-20,325.36,812.19,3169.77,901.55,1203.95,168.43,176.77,1320.05,1496.68,152.6,8.5,1106.22,3931.9,285.06,133.16,752.91,318.62,123.36,866.8,866.8,1195.1,10172.7,1.0019596165033744,276.44,649.07,49200.0,2992.07,26935.07,8117.67,139.44,217.73,2.13463,1.5,1.8519999999999999,1.6869999999999998,1.722,129500.0,42.5,142.95,26435.67,157000.0,82200.0,1794.16,240.62,22079.09,7344.92,218.0,6.173,4.0103,0.2936,0.07213
2019-09-24,324.82,808.38,3164.72,900.05,1205.64,167.89,175.68,1311.75,1483.56,152.2,8.47,1109.4,3928.55,285.57,131.93,750.94,318.06,122.89,866.1,866.1,1193.1,8513.9,0.9987353023794908,277.97,641.85,49500.0,2966.6,26807.77,7993.63,137.38,217.68,2.113,1.5,1.794,1.6280000000000001,1.652,134000.0,42.36,144.51,26281.0,158000.0,83400.0,1741.61,223.21,22098.84,7291.43,166.29,4.8707,2.8367,0.233,0.05363
2019-09-25,325.07,812.22,3167.11,901.95,1211.26,167.93,176.25,1315.73,1491.49,152.27,8.46,1114.59,3931.51,285.54,132.55,755.03,318.32,123.5,868.14,868.14,1194.0,8432.4,1.0006302792799444,274.42,626.76,48900.0,2984.87,26970.71,8077.38,139.36,221.03,2.09963,1.51,1.82,1.681,1.7369999999999999,134500.0,42.86,141.83,25945.35,158000.0,81900.0,1768.33,228.7,22020.15,7289.99,168.92,4.8147,2.8783,0.2456,0.057089999999999995
2019-09-26,326.23,809.21,3178.51,903.59,1208.63,168.46,175.74,1312.08,1480.8,152.86,8.47,1112.32,3945.67,285.99,132.41,751.69,319.46,122.91,869.18,869.18,1198.3,8063.8,1.0009089236080848,274.89,628.42,49200.0,2977.62,26891.12,8030.66,139.54,219.89,2.10438,1.51,1.781,1.659,1.6969999999999998,133000.0,42.94,141.79,26041.93,158000.0,83300.0,1739.84,242.56,22048.24,7351.08,164.56,4.6879,2.793,0.2421,0.05847
2019-09-27,326.45,809.39,3180.64,903.58,1206.76,168.35,175.34,1309.36,1477.95,152.99,8.46,1112.13,3948.3,285.81,131.98,754.83,319.67,122.76,867.44,867.44,1199.1,8184.9,1.001535607837503,271.33,626.93,48400.0,2961.79,26820.25,7939.63,137.73,218.82,2.09863,1.51,1.76,1.6369999999999998,1.6869999999999998,133500.0,42.66,141.06,25954.81,156000.0,81400.0,1725.45,242.13,21878.9,7426.21,173.19,4.6614,2.8373,0.2421,0.05864
2019-09-30,327.06,812.5,3186.47,907.57,1212.33,168.52,176.07,1314.64,1476.58,153.2,8.48,1113.4,3955.55,286.84,132.43,755.86,320.25,122.69,869.81,869.81,1201.3,8284.3,1.0003171684486885,273.55,621.76,49050.0,2976.74,26916.83,7999.34,139.03,223.97,2.08513,1.51,1.768,1.626,1.6680000000000001,134000.0,43.31,138.87,26092.27,157000.0,82200.0,1735.91,240.87,21755.84,7408.21,180.35,4.7078,2.9602,0.2564,0.061439999999999995
2019-10-02,326.21,803.33,3178.25,906.32,1206.4,167.75,175.42,1309.81,1472.47,152.78,8.43,1112.17,3933.04,285.66,131.27,747.86,319.42,121.28,864.97,864.97,1198.2,8364.1,1.00306143414901,268.55,624.51,47600.0,2887.61,26078.62,7785.25,134.65,218.96,2.05638,1.51,1.6769999999999998,1.484,1.601,128500.0,42.57,141.26,26042.69,157000.0,79500.0,1713.23,243.13,21778.61,7122.54,180.27,4.68,3.0014,0.2526,0.05942000000000001
2019-10-04,327.7,811.59,3192.84,902.63,1205.69,168.39,176.9,1320.82,1484.94,153.5,8.49,1126.37,3963.45,287.45,131.99,758.09,320.9,122.09,871.9,871.9,1203.7,8148.1,1.0014521440470825,267.39,621.84,48000.0,2952.01,26573.72,7982.46,138.12,227.01,2.0269999999999997,1.51,1.601,1.406,1.5290000000000001,126500.0,43.5,141.9,25821.03,150500.0,80300.0,1739.65,231.43,21410.2,7155.38,175.65,4.5791,3.0013,0.2523,0.059070000000000004
2019-10-08,325.74,805.54,3173.74,899.12,1202.63,167.76,175.75,1312.74,1470.2,152.56,8.45,1115.51,3935.21,285.36,130.93,752.36,319.0,120.68,866.18,866.18,1196.5,8182.9,1.0003315020945058,271.36,635.41,48900.0,2893.06,26164.04,7823.76,135.67,224.4,2.0095,1.5,1.601,1.4269999999999998,1.5319999999999998,129500.0,43.15,141.92,25893.4,153500.0,80900.0,1705.51,240.05,21587.78,7143.15,180.78,4.6214,3.1592,0.2775,0.06232000000000001
2019-10-10,325.25,802.06,3168.97,895.38,1203.85,167.64,175.76,1312.68,1459.15,152.29,8.43,1115.55,3929.29,284.62,130.19,750.63,318.54,120.11,864.57,864.57,1194.7,8562.3,1.0011188634356247,268.8,634.73,48550.0,2938.13,26496.67,7950.77,139.1,230.09,1.98613,1.5,1.618,1.546,1.67,126500.0,43.18,140.81,25707.93,153500.0,79000.0,1720.26,244.74,21551.98,7186.36,191.1,4.8296,3.1062,0.2701,0.0614
2019-10-11,325.63,808.74,3172.68,899.9,1200.6,167.87,176.29,1316.61,1486.81,152.52,8.45,1108.48,3933.89,285.53,131.09,756.29,318.9,121.55,869.57,869.57,1196.1,8267.8,1.001060820861652,271.3,632.95,49150.0,2970.27,26816.59,8057.04,139.68,236.21,2.00088,1.5,1.6569999999999998,1.597,1.734,126000.0,43.23,140.03,26308.44,156000.0,80000.0,1731.92,247.89,21798.87,7247.08,180.6,4.6441,3.0584,0.2673,0.05964
2019-10-15,322.26,802.13,3139.79,894.68,1186.61,167.52,174.77,1305.33,1492.05,150.88,8.37,1092.13,3893.11,282.64,129.96,745.91,315.59,120.55,864.8,864.8,1183.7,8167.2,1.0003875909379374,274.34,646.8,50100.0,2995.68,27024.8,8148.71,141.57,235.32,2.0021299999999997,1.5,1.646,1.624,1.771,122000.0,44.0,139.61,26503.93,151500.0,81200.0,1767.38,257.89,22207.21,7211.64,180.59,4.5677,2.9616,0.2885,0.0638
2019-10-16,322.37,799.09,3140.85,896.94,1185.4,167.38,174.88,1306.36,1511.03,150.93,8.36,1087.93,3894.43,282.57,129.75,745.21,315.69,120.72,863.55,863.55,1184.1,8000.4,1.000355860121737,276.32,651.96,50700.0,2989.69,27001.98,8124.18,140.41,234.37,2.00325,1.45,1.594,1.59,1.745,123000.0,44.67,140.41,26664.28,154500.0,82400.0,1777.43,259.75,22472.92,7167.95,174.53,4.4554,2.9255,0.2833,0.061720000000000004
2019-10-17,323.16,801.7,3148.54,899.14,1193.62,167.22,175.97,1314.66,1522.15,151.31,8.38,1091.75,3903.96,283.19,129.34,746.27,316.47,121.42,866.17,866.17,1187.0,8073.3,1.0004139085519368,275.57,649.29,50500.0,2997.95,27025.88,8156.85,139.69,235.28,1.9658799999999998,1.43,1.594,1.598,1.75,123000.0,44.95,140.61,26848.49,153000.0,81000.0,1787.48,261.97,22451.86,7182.32,177.31,4.5013,2.946,0.3018,0.06505
2019-10-18,323.05,809.97,3147.48,903.18,1201.62,167.05,176.69,1320.15,1527.39,151.27,8.39,1092.99,3909.98,283.91,129.22,753.37,316.36,122.22,869.4,869.4,1186.6,7948.5,1.0010437709644509,272.81,646.69,49900.0,2986.2,26770.2,8089.54,137.41,236.41,1.95325,1.42,1.578,1.578,1.754,123000.0,45.27,140.46,26719.58,150500.0,77400.0,1757.51,256.95,22492.68,7150.57,172.81,4.412,2.8776,0.2939,0.063
2019-10-21,321.4,808.58,3131.3,899.02,1198.78,166.78,176.31,1317.14,1523.67,150.53,8.35,1089.42,3891.67,281.98,128.81,754.04,314.73,122.2,865.56,865.56,1180.5,8208.2,1.0012063680521055,273.79,649.18,50300.0,3006.72,26827.64,8162.99,138.43,240.51,1.9340000000000002,1.42,1.589,1.625,1.8030000000000002,122000.0,44.94,139.79,26725.68,152000.0,77500.0,1785.66,253.5,22548.9,7163.64,174.18,4.584,2.921,0.2921,0.06393
2019-10-23,318.91,803.35,3107.16,894.54,1184.01,165.57,174.49,1303.53,1509.35,149.37,8.34,1079.68,3861.55,279.67,128.07,750.52,312.32,121.42,859.33,859.33,1171.4,7477.0,1.001322279501081,276.23,658.98,51200.0,3004.52,26833.95,8119.79,137.24,243.18,1.93963,1.42,1.5859999999999999,1.588,1.768,121000.0,45.17,140.53,26566.73,152500.0,77700.0,1762.17,254.68,22625.38,7260.74,162.28,4.2544,2.7174,0.2731,0.0598
2019-10-24,319.55,804.28,3113.26,897.84,1184.96,165.79,174.91,1306.68,1516.01,149.68,8.37,1080.11,3867.85,280.35,128.6,753.81,312.93,121.74,861.65,861.65,1173.7,7422.7,1.0018123808058974,276.7,658.75,50700.0,3010.29,26805.53,8185.8,139.94,243.58,1.93563,1.42,1.5959999999999999,1.5819999999999999,1.771,122000.0,45.54,141.53,26797.95,153000.0,80000.0,1780.78,299.68,22750.6,7328.25,160.73,4.2882,2.7222,0.276,0.05964
2019-10-25,318.83,798.21,3106.1,895.77,1180.09,165.7,174.03,1300.1,1503.33,149.39,8.33,1078.02,3857.18,279.81,128.05,747.33,312.23,121.24,858.66,858.66,1171.0,8658.3,1.0011494741582083,277.07,652.37,50900.0,3022.55,26958.06,8243.12,140.73,246.58,1.92813,1.42,1.607,1.624,1.8,123500.0,45.55,141.86,26667.39,152500.0,82900.0,1761.33,328.13,22799.81,7324.47,181.49,4.7438,3.1776,0.2983,0.06435
2019-10-28,319.7,801.04,3114.51,899.08,1180.63,166.03,174.21,1301.37,1506.62,149.82,8.37,1080.27,3865.68,280.51,127.7,745.97,313.05,121.26,861.39,861.39,1174.2,9207.2,0.9980147258164233,277.78,652.42,51300.0,3039.42,27090.72,8325.99,144.19,249.05,1.9355,1.43,1.6119999999999999,1.6469999999999998,1.845,121500.0,44.78,140.64,26891.26,157000.0,82900.0,1777.08,327.71,22867.27,7331.28,181.67,4.7716,3.2809,0.2945,0.06455
2019-10-29,318.44,799.66,3102.3,895.8,1175.71,165.66,173.75,1298.08,1503.64,149.19,8.34,1073.32,3850.28,279.41,126.83,742.52,311.86,120.47,858.52,858.52,1169.6,9411.3,0.9991421125876376,277.55,658.3,51100.0,3036.89,27071.42,8276.85,142.83,243.29,1.92713,1.44,1.5959999999999999,1.641,1.837,122500.0,44.54,140.25,26786.76,153000.0,83000.0,1762.71,316.22,22974.13,7306.26,190.45,4.9356,3.4016,0.3017,0.06667999999999999
2019-10-30,317.6,800.04,3094.08,891.31,1173.36,165.29,173.53,1296.45,1500.64,148.79,8.32,1071.51,3840.71,278.87,126.42,741.08,311.03,120.22,856.21,856.21,1166.5,9157.9,1.0000544185692,275.51,655.04,50400.0,3046.77,27186.69,8303.98,144.61,243.26,1.90913,1.44,1.5959999999999999,1.6019999999999999,1.775,122500.0,44.78,141.02,26667.71,154500.0,81500.0,1779.99,315.01,22843.12,7330.78,183.25,4.7969,3.2677,0.2946,0.06391000000000001
2019-10-31,318.12,806.14,3099.12,887.88,1181.34,165.45,174.43,1303.17,1507.82,149.02,8.33,1074.05,3846.33,279.52,127.33,748.94,311.55,121.12,858.23,858.23,1168.4,9152.6,1.0003854722476593,275.82,658.52,50400.0,3037.56,27046.23,8292.36,143.37,248.76,1.90225,1.44,1.5290000000000001,1.526,1.6880000000000002,122000.0,44.65,142.43,26906.72,164000.0,82000.0,1776.66,314.92,22927.04,7248.38,182.37,4.8203,3.2508,0.2944,0.06506
2019-11-01,316.29,800.47,3081.35,882.58,1177.42,164.93,173.4,1295.47,1502.72,148.23,8.28,1075.5,3829.06,278.02,126.36,745.11,309.76,120.36,853.69,853.69,1161.7,9230.1,0.9998062380834549,278.43,662.34,51200.0,3066.91,27347.36,8386.4,143.72,255.82,1.8905,1.44,1.528,1.554,1.714,124000.0,45.48,142.56,27100.76,167000.0,83100.0,1791.44,313.31,22850.77,7302.42,183.12,4.8672,3.3428,0.2912,0.06905
2019-11-05,315.93,798.41,3077.9,882.13,1174.61,165.08,172.81,1291.06,1495.0,148.06,8.28,1068.51,3823.14,279.58,126.89,742.31,309.42,120.58,853.89,853.89,1160.4,9310.8,1.001498194672765,284.38,672.18,52700.0,3074.62,27492.63,8434.68,144.46,257.13,1.8935,1.45,1.601,1.6230000000000002,1.857,125000.0,43.96,139.85,27683.4,161500.0,85100.0,1801.71,317.22,23251.99,7388.08,188.67,5.0452,3.616,0.3004,0.08296
2019-11-06,315.83,799.71,3077.11,882.04,1168.57,165.23,171.93,1284.64,1494.73,148.12,8.31,1062.7,3821.78,280.86,126.39,740.26,309.34,120.15,853.83,853.83,1160.1,9338.9,0.9993773387056414,284.52,669.68,53300.0,3076.78,27492.56,8410.63,144.06,257.24,1.90425,1.45,1.579,1.6130000000000002,1.83,123500.0,44.58,140.45,27688.64,161500.0,83500.0,1795.77,326.58,23303.82,7396.65,191.28,5.0935,3.6033,0.3101,0.07695
2019-11-07,315.12,796.59,3070.21,877.86,1166.19,165.5,171.5,1281.24,1488.2,147.89,8.26,1062.51,3813.59,279.83,126.23,737.1,308.65,120.34,850.88,850.88,1157.5,9223.5,0.9999982450839296,284.37,666.15,52900.0,3085.18,27674.8,8434.52,144.26,259.43,1.9013799999999998,1.46,1.587,1.679,1.929,123500.0,43.69,138.27,27847.23,165500.0,83600.0,1788.2,335.54,23330.32,7406.41,186.94,5.2508,3.4675,0.2906,0.07427
