"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 06월 20일","21,462.86","21,417.74","21,491.39","21,377.27","573.61M","0.60%"
"2019년 06월 19일","21,333.87","21,223.17","21,358.72","21,213.43","660.88M","1.72%"
"2019년 06월 18일","20,972.71","21,111.77","21,153.65","20,924.19","562.67M","-0.72%"
"2019년 06월 17일","21,124.00","21,094.96","21,185.25","21,044.62","505.82M","0.03%"
"2019년 06월 14일","21,116.89","21,049.41","21,119.73","20,971.18","623.44M","0.40%"
"2019년 06월 13일","21,032.00","21,040.91","21,111.23","20,932.13","677.08M","-0.46%"
"2019년 06월 12일","21,129.72","21,130.39","21,259.70","21,118.75","582.36M","-0.35%"
"2019년 06월 11일","21,204.28","21,099.54","21,227.18","21,066.62","536.72M","0.33%"
"2019년 06월 10일","21,134.42","21,095.40","21,166.12","21,077.95","599.68M","1.20%"
"2019년 06월 07일","20,884.71","20,859.78","20,907.77","20,816.58","522.70M","0.53%"
"2019년 06월 06일","20,774.04","20,745.84","20,842.28","20,745.84","614.23M","-0.01%"
"2019년 06월 05일","20,776.10","20,667.89","20,800.64","20,646.15","744.71M","1.80%"
"2019년 06월 04일","20,408.54","20,435.86","20,464.57","20,289.64","713.00M","-0.01%"
"2019년 06월 03일","20,410.88","20,327.87","20,438.03","20,305.74","695.25M","-0.92%"
"2019년 05월 31일","20,601.19","20,785.21","20,823.10","20,581.58","814.51M","-1.63%"
"2019년 05월 30일","20,942.53","20,881.50","20,942.53","20,809.29","604.99M","-0.29%"
"2019년 05월 29일","21,003.37","21,055.42","21,071.73","20,884.61","721.55M","-1.21%"
"2019년 05월 28일","21,260.14","21,187.17","21,297.70","21,177.27","1.02B","0.37%"
"2019년 05월 27일","21,182.58","21,148.46","21,232.38","21,113.76","429.01M","0.31%"
"2019년 05월 24일","21,117.22","20,980.79","21,117.22","20,922.00","698.31M","-0.16%"
"2019년 05월 23일","21,151.14","21,180.24","21,209.56","21,072.72","658.64M","-0.62%"
"2019년 05월 22일","21,283.37","21,373.52","21,404.54","21,266.98","665.38M","0.05%"
"2019년 05월 21일","21,272.45","21,211.26","21,318.80","21,160.43","723.21M","-0.14%"
"2019년 05월 20일","21,301.73","21,305.97","21,430.06","21,282.65","671.33M","0.24%"
"2019년 05월 17일","21,250.09","21,246.86","21,398.85","21,199.98","780.73M","0.89%"
"2019년 05월 16일","21,062.98","21,153.20","21,153.20","20,951.67","849.62M","-0.59%"
"2019년 05월 15일","21,188.56","21,112.85","21,191.53","20,968.08","866.63M","0.58%"
"2019년 05월 14일","21,067.23","20,870.77","21,077.48","20,751.45","929.62M","-0.59%"
